name1,name2,C.ij.bray,E.ij.bray,ST.ij.bray,NST.ij.bray,MST.ij.bray
SY15_FDME210455411-2a,BH2_FDSW220017122-1r,0.10372809,0.210693505,0.880655174,0.787529592,0.433561914
ST1_FDME220007465-1r,BH2_FDSW220017122-1r,0.14360825,0.288776527,0.830488469,0.634894597,0.413001005
ST3_L1,BH2_FDSW220017122-1r,0.1224909,0.352797068,0.73754555,0.35211059,0.256075309
ST7_FDME220007471-1r,BH2_FDSW220017122-1r,0.11448145,0.318541503,0.769558692,0.449512356,0.276573677
ST9_L1,BH2_FDSW220017122-1r,0.1296611,0.334064788,0.765144718,0.436082596,0.296976843
ST10_L1,BH2_FDSW220017122-1r,0.15612824,0.279718773,0.853543466,0.705040709,0.476415071
ST12_L1,BH2_FDSW220017122-1r,0.15211564,0.27372478,0.856573437,0.714259565,0.476019076
ST13_L1,BH2_FDSW220017122-1r,0.1658854,0.324659465,0.80964958,0.571491115,0.413692065
ST15_L1,BH2_FDSW220017122-1r,0.14918421,0.314619786,0.805556528,0.559037779,0.381973162
WZ1_L1,BH2_FDSW220017122-1r,0.03332468,0.314003877,0.709644809,0.267221032,0.075313357
WZ3_L1,BH2_FDSW220017122-1r,0.03251522,0.312785415,0.710310487,0.269246394,0.073839446
WZ5_L1,BH2_FDSW220017122-1r,0.03198111,0.303447759,0.719564719,0.29740291,0.075836706
WZ7_FDME210455463-1r,BH2_FDSW220017122-1r,0.03274666,0.308415395,0.714998416,0.283509677,0.075916476
WZ10_L1,BH2_FDSW220017122-1r,0.03400637,0.330763027,0.692796466,0.215959009,0.07122771
WZ11_L1,BH2_FDSW220017122-1r,0.03327187,0.320778617,0.702598137,0.245781139,0.072875038
WZ14_L1,BH2_FDSW220017122-1r,0.03069058,0.310641831,0.711184844,0.271906673,0.070263156
WZ15_FDME210455471-1r,BH2_FDSW220017122-1r,0.03454794,0.335350327,0.688433637,0.202684859,0.07092274
XM2_FDME220007436-1r,BH2_FDSW220017122-1r,0.14767652,0.327009161,0.789595564,0.510475655,0.356579383
XM4_FDME220007438-1r,BH2_FDSW220017122-1r,0.12822987,0.349141044,0.746594696,0.379643121,0.274203627
XM6_FDME220007440-1r,BH2_FDSW220017122-1r,0.12328861,0.353654138,0.737239038,0.351178009,0.257011488
XM8_FDME220007442-1r,BH2_FDSW220017122-1r,0.11183872,0.358378538,0.722415486,0.306076526,0.225443253
XM10_FDME220007444-1r,BH2_FDSW220017122-1r,0.11994164,0.363497268,0.723250594,0.308617389,0.238647907
XM12_FDME220007446-1r,BH2_FDSW220017122-1r,0.12580427,0.352665453,0.740491545,0.361073944,0.264151188
XM14_FDME220007448-1r,BH2_FDSW220017122-1r,0.13257425,0.34507854,0.755017314,0.405269404,0.290066876
XM15_FDME220007449-1r,BH2_FDSW220017122-1r,0.1367849,0.342968326,0.761144787,0.423912583,0.303564806
YC1_FDME220007405-1r,BH2_FDSW220017122-1r,0.02765518,0.334550251,0.684376299,0.190340182,0.056573115
YC3_FDME220007407-1r,BH2_FDSW220017122-1r,0.03022498,0.344320031,0.676115548,0.165206386,0.059350537
YC5_FDME220007409-1r,BH2_FDSW220017122-1r,0.02881868,0.335109449,0.684620408,0.191082896,0.058875858
YC7_FDME220007411-1a,BH2_FDSW220017122-1r,0.02572319,0.335153446,0.682400061,0.184327367,0.052374537
YC9_FDME220007413-1r,BH2_FDSW220017122-1r,0.0281627,0.346429746,0.67250995,0.154236154,0.054671102
YC11_FDME220007415-1r,BH2_FDSW220017122-1r,0.0249423,0.322595593,0.694732637,0.221849918,0.053715024
YC13_FDME220007417-1r,BH2_FDSW220017122-1r,0.02705746,0.333860346,0.684664948,0.191218413,0.055488154
YC15_FDME220007419-1r,BH2_FDSW220017122-1r,0.02649411,0.342806145,0.675079485,0.162054108,0.052174182
ZH1_FDSW220008784-1r,BH2_FDSW220017122-1r,0.02890993,0.226198657,0.796837871,0.532510777,0.101842015
ZH3_FDSW220008786-1r,BH2_FDSW220017122-1r,0.04290236,0.275901572,0.756556486,0.409952422,0.117643616
ZH5_FDSW220008788-1r,BH2_FDSW220017122-1r,0.03130507,0.244758885,0.779648052,0.480209797,0.099718288
ZH7_FDSW220008790-1r,BH2_FDSW220017122-1r,0.04029525,0.267382896,0.763377595,0.430706026,0.115042853
ZH9_FDSW220008792-2r,BH2_FDSW220017122-1r,0.04045501,0.260141384,0.771051513,0.454054346,0.119907476
ZH11_FDSW220008794-2r,BH2_FDSW220017122-1r,0.03794307,0.261786375,0.767328421,0.442726634,0.111215857
ZH13_FDSW220008796-2r,BH2_FDSW220017122-1r,0.03880598,0.268606753,0.760921554,0.423233383,0.109931364
ZH15_FDSW220008798-2r,BH2_FDSW220017122-1r,0.04029462,0.266901228,0.763878986,0.432231535,0.115324361
CXD_1412_FDSW210423229-1r,BH2_FDSW220017122-1r,0.04666793,0.348117459,0.683793781,0.188567839,0.091668026
CXD_1414_FDSW210423231-1r,BH2_FDSW220017122-1r,0.04965295,0.355109915,0.678583771,0.172716094,0.094882414
CXD_1604_FDSW210423236-1r,BH2_FDSW220017122-1r,0.03896179,0.260231374,0.769759848,0.450124385,0.115248293
CXD_1609_FDSW210423241-1r,BH2_FDSW220017122-1r,0.0380127,0.291610131,0.736381727,0.348569593,0.09599069
CXD_1610_FDSW210423242-1r,BH2_FDSW220017122-1r,0.04201816,0.324551828,0.705074088,0.253314358,0.091282542
CXD_1611_FDSW210423243-1r,BH2_FDSW220017122-1r,0.04723975,0.34655509,0.685844009,0.194805772,0.093489031
CXD_1612_FDSW210423244-1r,BH2_FDSW220017122-1r,0.048619,0.348952551,0.684318321,0.190163781,0.095344976
CXD_1613_FDSW210423245-1r,BH2_FDSW220017122-1r,0.04877243,0.350897659,0.682383861,0.184278077,0.094846797
BH6_FDSW220017126-1r,BH4_FDSW220017124-1r,0.81250999,0.2964084,0.364805853,-0.7819707,0.097211867
BH8_FDSW220017128-1r,BH4_FDSW220017124-1r,0.78894076,0.284714812,0.360882371,-0.793908112,0.106485581
BH10_FDSW220017130-1r,BH4_FDSW220017124-1r,0.86904907,0.294230721,0.338566292,-0.861806026,0.062818788
BH12_FDSW220017132-1r,BH4_FDSW220017124-1r,0.76488716,0.286810067,0.37497043,-0.751044408,0.123614143
BH14_FDSW220017134-1r,BH4_FDSW220017124-1r,0.69827467,0.279944407,0.400908724,-0.672125703,0.167993025
BH15_FDSW220017135-1r,BH4_FDSW220017124-1r,0.75745317,0.282057644,0.372376347,-0.75893705,0.125802165
DD1_FDSW220008388-1r,BH4_FDSW220017124-1r,0.03543342,0.252360027,0.77510458,0.466386029,0.108831048
DD3_FDSW220008390-2r,BH4_FDSW220017124-1r,0.03501635,0.244074956,0.783355287,0.491489264,0.112384504
DD5_FDSW220008392-2r,BH4_FDSW220017124-1r,0.04180774,0.282852483,0.748438019,0.385251534,0.11062481
DD7_FDSW220008394-1r,BH4_FDSW220017124-1r,0.03130492,0.23426244,0.790483585,0.513177509,0.105633773
DD9_FDSW220008396-1r,BH4_FDSW220017124-1r,0.03621831,0.256854558,0.77107238,0.454117837,0.108726661
DD11_FDSW220008398-1r,BH4_FDSW220017124-1r,0.03781218,0.275305008,0.753174148,0.39966147,0.103445835
DD13_FDSW220008400-2r,BH4_FDSW220017124-1r,0.03475254,0.258930532,0.767750757,0.444011613,0.103044197
DD15_FDSW220008402-2r,BH4_FDSW220017124-1r,0.03544803,0.275778338,0.750837367,0.392551684,0.096511226
DY2_FDME210438600-1b,BH4_FDSW220017124-1r,0.00668805,0.278892215,0.725963062,0.316870224,0.017409153
