name1,name2,C.ij.bray,E.ij.bray,ST.ij.bray,NST.ij.bray,MST.ij.bray
SY15_FDME210455411-2a,BH2_FDSW220017122-1r,0.0259646,0.11511641,0.908471695,0.711201254,0.204906531
ST1_FDME220007465-1r,BH2_FDSW220017122-1r,0.0338857,0.156339412,0.87325132,0.560746786,0.189272378
ST3_L1,BH2_FDSW220017122-1r,0.0447306,0.131584138,0.909079535,0.71379783,0.309031725
ST7_FDME220007471-1r,BH2_FDSW220017122-1r,0.038453,0.132468549,0.902224698,0.684515319,0.261897987
ST9_L1,BH2_FDSW220017122-1r,0.0556715,0.098391871,0.954761112,0.908940486,0.540217224
ST10_L1,BH2_FDSW220017122-1r,0.0416658,0.11228031,0.926315361,0.787425865,0.343743891
ST12_L1,BH2_FDSW220017122-1r,0.0462318,0.098043049,0.945677315,0.870136303,0.445930282
ST13_L1,BH2_FDSW220017122-1r,0.0597531,0.08577082,0.972328843,0.983986353,0.677382618
ST15_L1,BH2_FDSW220017122-1r,0.0552532,0.085172258,0.968331136,0.966908942,0.62817865
WZ1_L1,BH2_FDSW220017122-1r,0.0088338,0.19084079,0.816370867,0.317764745,0.037788866
WZ3_L1,BH2_FDSW220017122-1r,0.0086934,0.191099846,0.815993916,0.316154484,0.037120708
WZ5_L1,BH2_FDSW220017122-1r,0.0087998,0.19146695,0.815711145,0.314946545,0.037489995
WZ7_FDME210455463-1r,BH2_FDSW220017122-1r,0.0077856,0.19224203,0.814096198,0.308047808,0.03297004
WZ10_L1,BH2_FDSW220017122-1r,0.0101421,0.188076695,0.820242284,0.334302674,0.044231845
WZ11_L1,BH2_FDSW220017122-1r,0.0068233,0.180594177,0.825035286,0.354777431,0.031171898
WZ14_L1,BH2_FDSW220017122-1r,0.0097994,0.187032866,0.821012564,0.337593157,0.043016132
WZ15_FDME210455471-1r,BH2_FDSW220017122-1r,0.007742,0.190855726,0.815457547,0.313863222,0.033078768
XM2_FDME220007436-1r,BH2_FDSW220017122-1r,0.0359267,0.169054676,0.861910939,0.512302923,0.183169235
XM4_FDME220007438-1r,BH2_FDSW220017122-1r,0.0404733,0.159567689,0.875882152,0.571985178,0.222161776
XM6_FDME220007440-1r,BH2_FDSW220017122-1r,0.0426982,0.154201595,0.883523258,0.604626471,0.244646321
XM8_FDME220007442-1r,BH2_FDSW220017122-1r,0.0406159,0.15256983,0.883306457,0.603700338,0.235146665
XM10_FDME220007444-1r,BH2_FDSW220017122-1r,0.0381868,0.16486629,0.868290964,0.539557123,0.201116028
XM12_FDME220007446-1r,BH2_FDSW220017122-1r,0.022838,0.152455311,0.867353304,0.535551625,0.129930631
XM14_FDME220007448-1r,BH2_FDSW220017122-1r,0.0412101,0.163166623,0.872801619,0.558825749,0.220438722
XM15_FDME220007449-1r,BH2_FDSW220017122-1r,0.0324061,0.16837838,0.859473814,0.501892006,0.165414315
YC1_FDME220007405-1r,BH2_FDSW220017122-1r,0.0101541,0.183607964,0.8247668,0.353630511,0.045612208
YC3_FDME220007407-1r,BH2_FDSW220017122-1r,0.0103687,0.182129974,0.826439126,0.360774354,0.047049364
YC5_FDME220007409-1r,BH2_FDSW220017122-1r,0.0103573,0.181530492,0.827035361,0.363321355,0.047186857
YC7_FDME220007411-1a,BH2_FDSW220017122-1r,0.0099686,0.181525695,0.826715501,0.361954975,0.045399612
YC9_FDME220007413-1r,BH2_FDSW220017122-1r,0.0100621,0.181264666,0.827057267,0.363414929,0.045910398
YC11_FDME220007415-1r,BH2_FDSW220017122-1r,0.0093612,0.185389162,0.822308633,0.343129708,0.04152236
YC13_FDME220007417-1r,BH2_FDSW220017122-1r,0.0096668,0.185553299,0.822396645,0.343505678,0.04284453
YC15_FDME220007419-1r,BH2_FDSW220017122-1r,0.0103303,0.183416074,0.825107534,0.355086058,0.046471436
ZH1_FDSW220008784-1r,BH2_FDSW220017122-1r,0.0123013,0.131034023,0.879788519,0.588672405,0.082593377
ZH3_FDSW220008786-1r,BH2_FDSW220017122-1r,0.018627,0.145044804,0.871182717,0.55191012,0.111879364
ZH5_FDSW220008788-1r,BH2_FDSW220017122-1r,0.0124709,0.139421455,0.871446264,0.553035943,0.077948686
ZH7_FDSW220008790-1r,BH2_FDSW220017122-1r,0.0175114,0.146015572,0.869205432,0.54346355,0.104242334
ZH9_FDSW220008792-2r,BH2_FDSW220017122-1r,0.017121,0.150852155,0.863939351,0.520967893,0.098052995
ZH11_FDSW220008794-2r,BH2_FDSW220017122-1r,0.0156006,0.145282842,0.868262575,0.539435852,0.093234803
ZH13_FDSW220008796-2r,BH2_FDSW220017122-1r,0.0157848,0.148399384,0.86525855,0.526603251,0.092034972
ZH15_FDSW220008798-2r,BH2_FDSW220017122-1r,0.0167137,0.145407544,0.869118644,0.543092812,0.099899826
CXD_1412_FDSW210423229-1r,BH2_FDSW220017122-1r,0.0174834,0.17814186,0.836482702,0.403678523,0.082095032
CXD_1414_FDSW210423231-1r,BH2_FDSW220017122-1r,0.0166744,0.184194985,0.829638743,0.374442488,0.075103718
CXD_1604_FDSW210423236-1r,BH2_FDSW220017122-1r,0.0179568,0.17957544,0.83542614,0.399165099,0.083539153
CXD_1609_FDSW210423241-1r,BH2_FDSW220017122-1r,0.0172087,0.177624172,0.836775649,0.404929937,0.08106904
CXD_1610_FDSW210423242-1r,BH2_FDSW220017122-1r,0.015614,0.182585079,0.830380482,0.377611047,0.071011065
CXD_1611_FDSW210423243-1r,BH2_FDSW220017122-1r,0.0177441,0.178814006,0.836020424,0.401703763,0.082960112
CXD_1612_FDSW210423244-1r,BH2_FDSW220017122-1r,0.0185973,0.175144341,0.840486437,0.420781689,0.089245124
CXD_1613_FDSW210423245-1r,BH2_FDSW220017122-1r,0.016641,0.18020902,0.833663982,0.39163751,0.076982841
BH6_FDSW220017126-1r,BH4_FDSW220017124-1r,0.7379445,0.134811741,0.182685475,-2.389213842,0.055333314
BH8_FDSW220017128-1r,BH4_FDSW220017124-1r,0.7035629,0.13319653,0.18931716,-2.360884598,0.064744353
BH10_FDSW220017130-1r,BH4_FDSW220017124-1r,0.782787,0.133989018,0.171169191,-2.438409127,0.042932681
BH12_FDSW220017132-1r,BH4_FDSW220017124-1r,0.6723253,0.135003294,0.200800555,-2.311829804,0.076066488
BH14_FDSW220017134-1r,BH4_FDSW220017124-1r,0.5926351,0.139854778,0.23598801,-2.161515962,0.111763955
BH15_FDSW220017135-1r,BH4_FDSW220017124-1r,0.6415661,0.135479613,0.211170155,-2.267532924,0.087552062
DD1_FDSW220008388-1r,BH4_FDSW220017124-1r,0.0129235,0.152195955,0.858904092,0.499458266,0.072932602
DD3_FDSW220008390-2r,BH4_FDSW220017124-1r,0.0182921,0.166095444,0.849442645,0.459040838,0.093549163
DD5_FDSW220008392-2r,BH4_FDSW220017124-1r,0.0162524,0.171816377,0.841865965,0.42667476,0.079633517
DD7_FDSW220008394-1r,BH4_FDSW220017124-1r,0.0160091,0.171056095,0.842430459,0.429086163,0.07884287
DD9_FDSW220008396-1r,BH4_FDSW220017124-1r,0.0200042,0.166368262,0.850648277,0.464191056,0.102282359
DD11_FDSW220008398-1r,BH4_FDSW220017124-1r,0.0195347,0.164607147,0.852037143,0.470124017,0.101115233
DD13_FDSW220008400-2r,BH4_FDSW220017124-1r,0.0156019,0.168535089,0.844642946,0.438537473,0.078191639
DD15_FDSW220008402-2r,BH4_FDSW220017124-1r,0.0172141,0.165698978,0.848914318,0.456783929,0.088191829
DY2_FDME210438600-1b,BH4_FDSW220017124-1r,0.0033908,0.125881599,0.877092446,0.577155313,0.023625733
DY3_FDME210438601-1r,BH4_FDSW220017124-1r,0.0210401,0.085415452,0.934241074,0.821282943,0.230128451
DY6_FDME210438604-1r,BH4_FDSW220017124-1r,0.0012511,0.11312214,0.887988823,0.623702479,0.009820914
DY7_FDME210438605-1r,BH4_FDSW220017124-1r,0.0005108,0.108168729,0.892287051,0.642063661,0.004213604
DY10_FDME210438608-1r,BH4_FDSW220017124-1r,0.0018433,0.137791738,0.863800505,0.520374774,0.011555435
DY11_FDME210438609-1r,BH4_FDSW220017124-1r,0.0015474,0.110918712,0.890459184,0.634255375,0.01242258
DY13_FDME210438611-1b,BH4_FDSW220017124-1r,0.0003159,0.095374748,0.904911113,0.695991156,0.002997244
DY15_FDME210438613-1r,BH4_FDSW220017124-1r,0.0007531,0.11329833,0.887369949,0.621058771,0.005898395
LYG1_FDME210455382-1r,BH4_FDSW220017124-1r,0.0159785,0.184373126,0.828870989,0.371162793,0.071833219
LYG3_FDME210455384-1r,BH4_FDSW220017124-1r,0.0184382,0.18812998,0.827120635,0.363685628,0.08106425
LYG5_FDME210455386-1r,BH4_FDSW220017124-1r,0.0148409,0.172820474,0.839640547,0.417168214,0.072103849
LYG6_FDME210455387-1r,BH4_FDSW220017124-1r,0.0231581,0.180058235,0.839380216,0.416056132,0.107956468
LYG7_FDME210455388-1r,BH4_FDSW220017124-1r,0.018606,0.186395732,0.829029185,0.371838575,0.082753595
LYG11_FDME210455392-2r,BH4_FDSW220017124-1r,0.0106139,0.128713544,0.880633411,0.592281617,0.072618271
LYG13_FDME210455394-1a,BH4_FDSW220017124-1r,0.0143873,0.157706633,0.85458859,0.481023293,0.077962621
LYG15_FDME210455396-1a,BH4_FDSW220017124-1r,0.0095559,0.092700285,0.91605343,0.743588928,0.094430292
NB1_FDME210455352-1r,BH4_FDSW220017124-1r,0.0091286,0.190896701,0.816557324,0.318561252,0.039047428
NB2_FDME210455353-1r,BH4_FDSW220017124-1r,0.0058362,0.191521836,0.813224304,0.304323251,0.024781194
NB4_FDME210455355-1r,BH4_FDSW220017124-1r,0.0081329,0.193182506,0.813433064,0.305215031,0.03424518
NB6_FDME210455357-1r,BH4_FDSW220017124-1r,0.0080447,0.194038508,0.812497793,0.30121974,0.033685587
NB7_FDME210455358-1r,BH4_FDSW220017124-1r,0.0088905,0.191324684,0.815929336,0.315878611,0.037914709
NB11_FDME210455362-1b,BH4_FDSW220017124-1r,0.0077801,0.194106415,0.812212681,0.300001796,0.032554802
NB12_FDME210455363-1r,BH4_FDSW220017124-1r,0.0072793,0.190974016,0.81495831,0.31173058,0.031063524
NB15_FDME210455366-1r,BH4_FDSW220017124-1r,0.0065099,0.192230876,0.813062077,0.303630249,0.027534353
SY1_FDME210455397-2a,BH4_FDSW220017124-1r,0.0143307,0.097015492,0.916113049,0.74384361,0.135324174
SY3_FDME210455399-2a,BH4_FDSW220017124-1r,0.0282414,0.124847007,0.900586826,0.677518657,0.203720005
SY7_FDME210455403-2a,BH4_FDSW220017124-1r,0.01899,0.134337255,0.882419899,0.599913137,0.124739439
SY9_FDME210455405-2a,BH4_FDSW220017124-1r,0.0198581,0.127857394,0.889812594,0.631493268,0.138200748
SY11_FDME210455407-1r,BH4_FDSW220017124-1r,0.0097376,0.108380105,0.900387508,0.67666721,0.08089689
SY12_FDME210455408-1r,BH4_FDSW220017124-1r,0.0126335,0.104759181,0.906695557,0.703613947,0.109343527
SY13_FDME210455409-2a,BH4_FDSW220017124-1r,0.0284647,0.140687715,0.884488999,0.608751923,0.178954601
SY15_FDME210455411-2a,BH4_FDSW220017124-1r,0.0234597,0.114868429,0.906395334,0.70233145,0.185114072
ST1_FDME220007465-1r,BH4_FDSW220017124-1r,0.0344629,0.159975404,0.87000758,0.546890168,0.187422463
ST3_L1,BH4_FDSW220017124-1r,0.0462618,0.133846408,0.908167033,0.709899802,0.313892933
ST7_FDME220007471-1r,BH4_FDSW220017124-1r,0.0401796,0.133663924,0.902602275,0.686128255,0.27132376
ST9_L1,BH4_FDSW220017124-1r,0.055734,0.10076695,0.952309042,0.898465727,0.52672024
ST10_L1,BH4_FDSW220017124-1r,0.0430023,0.115151433,0.924608876,0.780136098,0.345287135
ST12_L1,BH4_FDSW220017124-1r,0.046598,0.100560207,0.943400364,0.860409616,0.437156721
ST13_L1,BH4_FDSW220017124-1r,0.0586572,0.088012401,0.96881561,0.968978518,0.645681862
ST15_L1,BH4_FDSW220017124-1r,0.0542048,0.087041984,0.965280873,0.953878821,0.60112206
WZ1_L1,BH4_FDSW220017124-1r,0.0095673,0.193449339,0.814341712,0.309096597,0.040274376
WZ3_L1,BH4_FDSW220017124-1r,0.0093352,0.193807378,0.81378951,0.3067377,0.039198135
