name1,name2,C.ij.bray,E.ij.bray,ST.ij.bray,NST.ij.bray,MST.ij.bray
SY15_FDME210455411-2a,BH2_FDSW220017122-1r,0.10005933,0.249398668,0.834056463,0.68589203,0.334625407
ST1_FDME220007465-1r,BH2_FDSW220017122-1r,0.16175445,0.309518786,0.823721896,0.654630471,0.430476883
ST3_L1,BH2_FDSW220017122-1r,0.14281352,0.376166232,0.727769025,0.364377706,0.276301399
ST7_FDME220007471-1r,BH2_FDSW220017122-1r,0.12281642,0.359896895,0.729725361,0.37029553,0.249022033
ST9_L1,BH2_FDSW220017122-1r,0.1486102,0.360610163,0.750995416,0.434636409,0.309490942
ST10_L1,BH2_FDSW220017122-1r,0.18364794,0.257920471,0.909018995,0.91265004,0.64725171
ST12_L1,BH2_FDSW220017122-1r,0.17425094,0.2439761,0.91556132,0.932440255,0.653905938
ST13_L1,BH2_FDSW220017122-1r,0.18685809,0.329439041,0.824654283,0.657450895,0.467744575
ST15_L1,BH2_FDSW220017122-1r,0.16655211,0.327664531,0.806691669,0.603114861,0.410041939
WZ1_L1,BH2_FDSW220017122-1r,0.0406578,0.342143517,0.685737043,0.237233009,0.081487908
WZ3_L1,BH2_FDSW220017122-1r,0.04114512,0.340440138,0.687862028,0.243660984,0.083134045
WZ5_L1,BH2_FDSW220017122-1r,0.04037729,0.329103678,0.699125099,0.277731225,0.085774723
WZ7_FDME210455463-1r,BH2_FDSW220017122-1r,0.04188679,0.346203298,0.682379384,0.227076255,0.082560398
WZ10_L1,BH2_FDSW220017122-1r,0.0418893,0.358366167,0.669686534,0.188680999,0.078279432
WZ11_L1,BH2_FDSW220017122-1r,0.04189073,0.350493273,0.677904647,0.213540394,0.081022726
WZ14_L1,BH2_FDSW220017122-1r,0.03967894,0.339659768,0.687624441,0.242942294,0.080328056
WZ15_FDME210455471-1r,BH2_FDSW220017122-1r,0.04306422,0.371744464,0.656528421,0.148878349,0.076054621
