name1,name2,C.ij.bray,E.ij.bray,ST.ij.bray,NST.ij.bray,MST.ij.bray
SY15_FDME210455411-2a,BH2_FDSW220017122-1r,0.06286,0.26338944,0.786019763,0.467281971,0.187589914
ST1_FDME220007465-1r,BH2_FDSW220017122-1r,0.1011879,0.247042501,0.837725148,0.630971543,0.343129818
ST3_L1,BH2_FDSW220017122-1r,0.1041039,0.298837369,0.782638334,0.456577,0.272642284
ST7_FDME220007471-1r,BH2_FDSW220017122-1r,0.074531,0.33728015,0.716090815,0.24590001,0.15823927
ST9_L1,BH2_FDSW220017122-1r,0.1089541,0.292127564,0.7944287,0.493903092,0.29629612
ST10_L1,BH2_FDSW220017122-1r,0.0903003,0.240579117,0.834803928,0.62172351,0.313339936
ST12_L1,BH2_FDSW220017122-1r,0.0943591,0.196141047,0.88761335,0.788908257,0.427011064
ST13_L1,BH2_FDSW220017122-1r,0.1163863,0.232616252,0.868460672,0.728274463,0.434522195
ST15_L1,BH2_FDSW220017122-1r,0.1079827,0.232408063,0.860512388,0.703111683,0.399815953
WZ1_L1,BH2_FDSW220017122-1r,0.0358405,0.385807604,0.637023642,-0.004411864,0.059177801
WZ3_L1,BH2_FDSW220017122-1r,0.0368557,0.381650041,0.642011752,0.01137956,0.061998664
WZ5_L1,BH2_FDSW220017122-1r,0.0366183,0.388271323,0.634980586,-0.010879795,0.059885725
WZ7_FDME210455463-1r,BH2_FDSW220017122-1r,0.036816,0.383598566,0.639962285,0.004891332,0.061420593
WZ10_L1,BH2_FDSW220017122-1r,0.0380172,0.381676124,0.642759805,0.013747754,0.064022679
WZ11_L1,BH2_FDSW220017122-1r,0.033952,0.403738365,0.617217401,-0.067114717,0.05190432
WZ14_L1,BH2_FDSW220017122-1r,0.0371661,0.374207708,0.649948337,0.036505303,0.064552505
WZ15_FDME210455471-1r,BH2_FDSW220017122-1r,0.0308638,0.388494884,0.630979543,-0.02354635,0.050127884
XM2_FDME220007436-1r,BH2_FDSW220017122-1r,0.1040721,0.307611326,0.772817404,0.425485774,0.261462187
XM4_FDME220007438-1r,BH2_FDSW220017122-1r,0.1056377,0.316034818,0.764751804,0.399951594,0.2556257
XM6_FDME220007440-1r,BH2_FDSW220017122-1r,0.1002946,0.323505839,0.751906303,0.359285141,0.233109059
XM8_FDME220007442-1r,BH2_FDSW220017122-1r,0.0959177,0.3249999,0.746613555,0.342529293,0.22034916
XM10_FDME220007444-1r,BH2_FDSW220017122-1r,0.0938419,0.33345416,0.735573451,0.307578388,0.207007795
XM12_FDME220007446-1r,BH2_FDSW220017122-1r,0.0881513,0.354203814,0.708227347,0.221005742,0.176257733
XM14_FDME220007448-1r,BH2_FDSW220017122-1r,0.1069013,0.321164647,0.760089958,0.385193062,0.252999841
XM15_FDME220007449-1r,BH2_FDSW220017122-1r,0.0989536,0.329757564,0.74384897,0.333777133,0.223214087
YC1_FDME220007405-1r,BH2_FDSW220017122-1r,0.0338636,0.359065487,0.663399612,0.079089522,0.062565465
YC3_FDME220007407-1r,BH2_FDSW220017122-1r,0.0334487,0.359856447,0.66229651,0.075597307,0.06156054
YC5_FDME220007409-1r,BH2_FDSW220017122-1r,0.031596,0.364932462,0.65578781,0.054991982,0.056778374
YC7_FDME220007411-1a,BH2_FDSW220017122-1r,0.0293488,0.373124468,0.645829864,0.023466987,0.050798951
YC9_FDME220007413-1r,BH2_FDSW220017122-1r,0.0311484,0.361910878,0.658603569,0.063906148,0.056683699
YC11_FDME220007415-1r,BH2_FDSW220017122-1r,0.0306157,0.371858298,0.647980065,0.030274122,0.053349255
YC13_FDME220007417-1r,BH2_FDSW220017122-1r,0.0313096,0.374482637,0.64573507,0.023166889,0.053988369
YC15_FDME220007419-1r,BH2_FDSW220017122-1r,0.0297841,0.383132469,0.635804392,-0.008271779,0.049426408
ZH1_FDSW220008784-1r,BH2_FDSW220017122-1r,0.0301309,0.279569055,0.742812556,0.330496041,0.08005754
ZH3_FDSW220008786-1r,BH2_FDSW220017122-1r,0.046939,0.308105691,0.725970645,0.277177703,0.110599502
ZH5_FDSW220008788-1r,BH2_FDSW220017122-1r,0.030808,0.284458527,0.738286607,0.316167734,0.079959402
ZH7_FDSW220008790-1r,BH2_FDSW220017122-1r,0.0449897,0.311491404,0.720943634,0.261263126,0.104128195
ZH9_FDSW220008792-2r,BH2_FDSW220017122-1r,0.0446136,0.313846686,0.718194559,0.252560069,0.102092028
ZH11_FDSW220008794-2r,BH2_FDSW220017122-1r,0.040726,0.298825268,0.730943122,0.292919633,0.099618047
ZH13_FDSW220008796-2r,BH2_FDSW220017122-1r,0.0417033,0.30460706,0.725655155,0.27617892,0.099348369
ZH15_FDSW220008798-2r,BH2_FDSW220017122-1r,0.0437868,0.2958387,0.73640617,0.31021462,0.108994765
CXD_1412_FDSW210423229-1r,BH2_FDSW220017122-1r,0.0542611,0.358444365,0.678364436,0.126465354,0.102690415
CXD_1414_FDSW210423231-1r,BH2_FDSW220017122-1r,0.0532926,0.366477856,0.669184739,0.097404152,0.097311731
CXD_1604_FDSW210423236-1r,BH2_FDSW220017122-1r,0.0561221,0.340176052,0.699056465,0.191972446,0.115330038
