richness,sd
764.8353333,486.3511016
1462.719667,584.1646728
1993.765333,593.8251327
2499.302667,581.4207765
2892.466667,549.7922691
3298.706333,560.2096449
3575.742333,578.6886644
3910.221,532.370732
4160.385,508.9241644
4376.861,502.238155
4609.324333,498.4754672
4843.74,474.7128235
5038.171667,453.2224927
5176.557667,440.408991
5319.7,439.3278268
5450.002667,407.1144075
5583.999667,418.200944
5719.617333,388.8353779
5811.315,386.9390728
5910.357,376.4858002
6015.241333,361.4726466
6102.286333,344.5465977
6197.369667,298.9261944
6279.045667,293.4925993
6347.123333,282.4199176
6426.885333,271.9071478
6496.674667,269.4955685
6559.28,264.5251061
6627.8,250.4267351
6677.846,248.1275963
6724.684667,234.5281739
6766.422333,225.7522143
6815.001333,203.4263358
6870.255333,192.0302255
6906.134667,185.2667406
6939.010667,168.6159645
6970.398,158.8290929
7006.663,155.4266389
7039.164333,138.8207072
7071.671333,127.1976561
7099.536333,119.4932229
7126.998667,105.4795887
7153.896,104.1546696
7176.933667,100.4852239
7195.677333,101.9021586
7213.408667,99.37951434
7230.943333,95.81585658
7250.911667,91.17393293
7270.560333,85.41124241
7290.366333,77.89515263
7305.401,74.81761024
7322.981333,69.61187934
7339.619,65.30203457
7357.231333,56.64649192
7366.836,57.95235372
7378.258333,59.43440402
7392.422,55.70415625
7401.217,56.65468847
7412.361667,55.99724488
7423.056333,54.0167567
7431.691,53.21220881
7441.225,52.06589009
7450.438,50.38303342
7460.530333,50.77905975
7470.239333,48.99625043
7481.318667,42.67556865
7488.926,42.40336517
7494.989667,41.65274426
7501.527333,40.31361718
7508.426667,38.29428285
7515.374,37.62067708
7521.862,36.07406554
7529.361667,33.96706643
7536.701333,33.23452761
7541.191,32.81768598
7547.129333,32.02960201
7551.679,32.03077282
7558.710667,29.66637797
7563.690667,29.92199139
7569.411,27.31595204
7572.456333,26.93882111
7577.389667,24.52181909
7583.246333,23.10936663
7588.248333,21.83865917
7592.548667,21.49049612
7595.887667,21.1882168
7600.608,18.77548436
7604.205667,18.63182478
7608.709333,16.8231623
7612.832333,16.05786286
7615.982,15.96630249
7619.360333,14.73846955
7623.955667,12.77254531
7627.202667,10.62871054
7629.474,9.995446303
7634,0
