HN_SY_bin_151,FJ_XM_contig_10088049||full,
FJ_XM_bin_124,FJ_XM_contig_10165873,
JS_YC_bin_156,FJ_XM_contig_14522063||full,
GD_ZH_bin_111,FJ_XM_contig_16654606,
FJ_XM_bin_75,FJ_XM_contig_19045204||0_partial,
HN_SY_bin_116,FJ_XM_contig_24783464||full,
JS_LYG_bin_43,FJ_XM_contig_26191577||full,
JS_LYG_bin_16,FJ_XM_contig_26758112||full,
FJ_XM_bin_124,FJ_XM_contig_28168220,
GD_ZH_bin_131,FJ_XM_contig_31767360,
GX_BH_bin_70,FJ_XM_contig_32020470||full,
FJ_XM_bin_90,FJ_XM_contig_4089252||full,
FJ_XM_bin_124,GD_ST_contig_12722517,
JS_YC_bin_156,GD_ST_contig_15185716||full,
JS_LYG_bin_25,GD_ST_contig_16604900||full,
SD_QD_bin_275,GD_ST_contig_21844715||full,
GD_ZH_bin_206,GD_ST_contig_23560987||full,
FJ_XM_bin_124,GD_ST_contig_6511300,
FJ_XM_bin_124,GD_ST_contig_9334074,
LN_DD_bin_117,GD_ZH_contig_12102649||full,
ZJ_NB_bin_24,GD_ZH_contig_12102649||full,
GD_ZH_bin_71,GD_ZH_contig_13731975||full,
JS_YC_bin_156,GD_ZH_contig_13731975||full,
HN_SY_bin_30,GD_ZH_contig_14575179||full,
SD_QD_bin_250,GD_ZH_contig_14575179||full,
FJ_XM_bin_77,GD_ZH_contig_16010148||full,
JS_YC_bin_129,GD_ZH_contig_18241395,
FJ_XM_bin_124,GD_ZH_contig_18576895,
GD_ZH_bin_258,GD_ZH_contig_18617916||full,
ZJ_NB_bin_24,GD_ZH_contig_18617916||full,
JS_YC_bin_156,GD_ZH_contig_19470049||full,
GD_ZH_bin_21,GD_ZH_contig_19634313||full,
FJ_XM_bin_77,GD_ZH_contig_20036942||full,
SD_DY_bin_267,GD_ZH_contig_22011697,
GD_ZH_bin_197,GD_ZH_contig_22751268,
GD_ZH_bin_183,GD_ZH_contig_23074529||full,
ZJ_WZ_bin_159,GD_ZH_contig_23074529||full,
ZJ_WZ_bin_84,GD_ZH_contig_23074529||full,
GD_ZH_bin_88,GD_ZH_contig_4017460||full,
