,BH2_FDSW220017122.1r,BH4_FDSW220017124.1r,BH6_FDSW220017126.1r,BH8_FDSW220017128.1r,BH10_FDSW220017130.1r,BH12_FDSW220017132.1r,BH14_FDSW220017134.1r,BH15_FDSW220017135.1r,DD1_FDSW220008388.1r,DD3_FDSW220008390.2r,DD5_FDSW220008392.2r,DD7_FDSW220008394.1r,DD9_FDSW220008396.1r,DD11_FDSW220008398.1r,DD13_FDSW220008400.2r,DD15_FDSW220008402.2r,DY2_FDME210438600.1b,DY3_FDME210438601.1r,DY6_FDME210438604.1r,DY7_FDME210438605.1r,DY10_FDME210438608.1r,DY11_FDME210438609.1r,DY13_FDME210438611.1b,DY15_FDME210438613.1r,LYG1_FDME210455382.1r,LYG3_FDME210455384.1r,LYG5_FDME210455386.1r,LYG6_FDME210455387.1r,LYG7_FDME210455388.1r,LYG11_FDME210455392.2r,LYG13_FDME210455394.1a,LYG15_FDME210455396.1a,NB1_FDME210455352.1r,NB2_FDME210455353.1r,NB4_FDME210455355.1r,NB6_FDME210455357.1r,NB7_FDME210455358.1r,NB11_FDME210455362.1b,NB12_FDME210455363.1r,NB15_FDME210455366.1r,SY1_FDME210455397.2a,SY3_FDME210455399.2a,SY7_FDME210455403.2a,SY9_FDME210455405.2a,SY11_FDME210455407.1r,SY12_FDME210455408.1r,SY13_FDME210455409.2a,SY15_FDME210455411.2a,ST1_FDME220007465.1r,ST3_L1,ST7_FDME220007471.1r,ST9_L1,ST10_L1,ST12_L1,ST13_L1,ST15_L1,WZ1_L1,WZ3_L1,WZ5_L1,WZ7_FDME210455463.1r,WZ10_L1,WZ11_L1,WZ14_L1,WZ15_FDME210455471.1r,XM2_FDME220007436.1r,XM4_FDME220007438.1r,XM6_FDME220007440.1r,XM8_FDME220007442.1r,XM10_FDME220007444.1r,XM12_FDME220007446.1r,XM14_FDME220007448.1r,XM15_FDME220007449.1r,YC1_FDME220007405.1r,YC3_FDME220007407.1r,YC5_FDME220007409.1r,YC7_FDME220007411.1a,YC9_FDME220007413.1r,YC11_FDME220007415.1r,YC13_FDME220007417.1r,YC15_FDME220007419.1r,ZH1_FDSW220008784.1r,ZH3_FDSW220008786.1r,ZH5_FDSW220008788.1r,ZH7_FDSW220008790.1r,ZH9_FDSW220008792.2r,ZH11_FDSW220008794.2r,ZH13_FDSW220008796.2r,ZH15_FDSW220008798.2r,CXD_1412_FDSW210423229.1r,CXD_1414_FDSW210423231.1r,CXD_1604_FDSW210423236.1r,CXD_1609_FDSW210423241.1r,CXD_1610_FDSW210423242.1r,CXD_1611_FDSW210423243.1r,CXD_1612_FDSW210423244.1r,CXD_1613_FDSW210423245.1r
JS_YC_contig_13605601||full.1,0,0,0,0,0,0,0,0,1.828571179,0.71674551,3.314394184,15.82765615,13.15795406,9.348932204,6.248358599,13.44182024,0,0,0,0,0,0,0,0,0,0,0.84379583,0,0,0.361030254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.71022619,22.0393215,17.58502861,22.17980404,18.96177932,28.97543147,21.74587811,15.40096615,0,0,0,0,0,0,0,0,13.29329882,2.375905226,0.137673103,2.865816959,0.243850086,0.41902104,0.440980702,0.804628291
JS_LYG_contig_6971826||full,0,0,0,0,0,0,0,0,53.18720521,59.68046426,35.25627551,51.26411108,60.95293399,49.92190401,70.19456757,52.30117032,0,0,0,0,0.243150604,0,0,0,3.842246077,4.747168143,6.989695114,20.29831451,30.71220212,9.096688709,8.048259678,1.887267117,7.046582853,2.788822594,4.573560065,6.035580976,6.919700024,2.699948087,3.290861605,0.641679065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023948901,0.412977448,0,0.108798278,0.276371295,0.0152871,0.021355592,0,0,0,0,0,0,0,0,0,41.75346125,35.83937447,51.00946097,33.70206162,35.87752515,43.70975785,41.6291024,29.83712292,0,0,0,0,0,0,0,0,19.98765491,12.72505236,2.679332621,4.915662275,28.07182549,16.90089912,15.39415459,17.03779523
HN_SY_contig_11113168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1806.787086,19.87654836,92.45223723,20.68239336,652.9931421,3.370474299,0,17.34344808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JS_YC_contig_22023177||full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.527366121,3.267456133,4.074826594,3.281005488,6.351451582,0,0,3.664956364,1.249227319,1.81562111,0.350807528,0.229479027,2.847113359,5.171214579,2.444793693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.341597119,6.929742888,6.304512192,3.259504568,4.387031165,2.798528551,5.599984485,1.522181481,1.521384734,1.967512073,1.782480491,0.214861404,2.131927245,1.904776136,0.187706828,1.725776304,12.51698642,14.58484751,15.60633431,8.963822552,19.12593175,18.91285139,22.25585966,13.61826313,0,0,0,0,0,0,0,0,2.122718277,3.324970467,2.000798763,1.918545542,1.059266081,2.556232225,5.459085785,3.665903982
JS_YC_contig_10342676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0715242,5.250253501,187.7931343,0,0,2.051980669,1.769804374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SD_DY_contig_9630585||full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.619113993,0,0.065356659,1.809927276,5.073358929,21.75040918,1.308181799,3.312508126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZJ_WZ_contig_1733138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.41375104,3.346492234,11.58084659,17.30347064,14.42838944,17.29523231,31.80424488,26.09302584,0,0,0,0,0,0,0,0,2.165157366,0,0.569311705,0,0,0,0,0,20.03101124,24.99770988,18.9596233,30.19746556,17.44200381,35.88577689,13.51813978,13.34933873,2.0645996,1.090253938,0,0,1.08325896,2.84403933,0.18341657,0.90304522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JS_LYG_contig_15675118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.06409317,10.55348242,5.402672554,16.59503542,13.77817267,0,1.026549439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJ_XM_contig_7453270||full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.840237221,0,0.932909411,0.076839223,0.877374667,10.74594716,9.808185799,3.869126819,0,0,0,0,0,0,0,0,12.2084588,10.44795869,8.967679271,2.46688464,12.35465704,8.361601666,7.789444591,9.403984903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JS_YC_contig_17675840||full_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.474183505,1.978686081,0,0,0.881764299,0,0,0,0,13.15515775,10.12066283,3.793216363,6.349103116,24.20105129,0.304127777,0.515423542,4.072302851,4.203134722,6.096933776,10.40842531,1.739326263,3.049353315,5.174583565,4.788984349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.49618412,34.83775756,35.98973663,12.92291855,27.79783686,24.30254327,35.26724659,24.42960046,0,0.225621435,0,0,0,0,0,0,0,0,0.472967363,0,0,0,0,0
