,BH2,BH6,BH10,BH14,BH15,DD1,DD5,DD9,DD13,DD15,DY2,DY6,DY10,DY13,DY15,LYG1,LYG5,LYG7,LYG13,LYG15,NB1,NB4,NB7,NB12,NB15,SY1,SY7,SY11,SY13,SY15,ST1,ST7,ST10,ST13,ST15,WZ1,WZ5,WZ10,WZ14,WZ15,XM2,XM6,XM10,XM14,XM15,YC1,YC5,YC9,YC13,YC15,ZH1,ZH5,ZH9,ZH13,ZH15,QD4,QD9,QD10,QD12,QD13
C10H15O2NS,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C10H15O4N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H15O4NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0
C10H15O5N,0,0,0,0,0,0,0,0,0,0,0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H15O7N3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,6,0,2,0,0,0,0,0,56,39,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,136,29,0,0,0,0,0,0,0
C10H15O8N3,0,0,0,0,0,0,0,0,0,0,39,120,6,211,0,0,0,76,48,24,32,0,0,28,0,72,42,3,16,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,6,0,0,0,0,2,0,0
C10H16O5,276,206,190,130,86,2,78,22,104,4,0,0,1,0,0,149,59,14,24,9,113,127,8,29,0,0,0,0,2,1,182,193,0,0,38,0,0,6,89,0,82,0,267,100,0,14,87,0,66,71,68,96,21,220,0,51,0,0,0,0
C10H16O5S,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,17,0,0,0,0,8,25,47,0,25,7,0,0,0,0,0,16,0,0,0
C10H16O6,159,103,75,121,76,0,39,0,79,1,0,0,0,0,0,0,22,0,0,5,25,0,0,13,0,43,0,0,0,0,55,0,0,0,0,0,0,0,0,0,37,0,0,35,0,12,45,46,22,33,15,65,0,53,0,0,0,0,0,0
C10H16O6S,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,144,0,0,0,0,0,0,0,0,0,10,166,62,102,11,46,55,34,36,25,0,0,31,0,0,18,0,0,0
C10H16O6S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H17O10NS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H17O2N3S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H17O2NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H17O7NS,0,0,0,0,0,0,0,3,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,29,284,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
C10H17O8N,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,5,0,0,0,0,0,0,0,0,0,0
C10H17O9N,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H17O9NS,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H18O3S,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H18O4,555,644,667,0,587,29,279,0,357,30,0,92,12,199,38,0,0,41,0,30,327,253,40,165,0,0,0,5,0,8,0,448,0,3,93,0,0,19,170,64,0,0,0,191,0,159,295,0,0,329,296,192,135,282,0,128,0,0,266,0
C10H18O4S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,56,43,0,1,21,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0
C10H18O5,1624,1366,1515,0,775,11,147,0,491,20,0,0,0,0,3,457,266,156,125,91,524,470,34,217,23,0,0,64,70,47,98,252,0,1,0,0,0,7,114,0,0,0,0,76,0,78,295,0,169,216,83,84,38,181,0,0,0,0,0,0
C10H18O5S,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,266,96,15,18,3,0,0,0,0,0,52,12,0,0,0,0,204,1,0,0,0,0,0,0,0,0,5,0,40,0,27,90,92,60,56,30,0,17,72,0,0,45,0,0,0
C10H18O5S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,67,0,0,2,0,0,83,0,0,0,0,0,0,0,0,0,4,0,0,0,0,18,0,12,0,0,0,0,0,0,0,23,0,0,0
C10H18O6,0,0,24,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,8,0,0,0,0,0,0,83,87,0,0,0,221,0,0,0,0,0,0,118,24,0,9,45,50,26,25,0,0,0,45,0,0,0,0,0,0
C10H18O6S,0,0,0,182,21,4,48,14,0,4,0,0,0,0,0,275,116,13,0,11,41,0,0,0,0,62,37,0,2,2,79,328,0,0,0,0,0,0,0,0,0,5,0,44,0,46,131,148,86,115,127,0,27,105,0,0,75,0,0,0
C10H18O6S2,99,0,31,133,35,137,503,719,123,92,132,147,0,0,191,312,183,65,95,298,289,298,102,556,34,301,244,266,142,85,0,94,50,893,216,0,0,11,0,0,116,29,293,121,127,363,279,281,266,208,148,164,58,0,8,0,288,64,0,0
C10H18O7N2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H18O9N2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H18ON2S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0
C10H19O12N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H19O2N3S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H19O5NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H19O5NS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H19O7N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H19O8N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,72,0,16,0,0,0,0,0,0,0,0,0,0
C10H19O9NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,39,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H19ONS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H20O4,371,215,282,0,193,19,135,0,559,69,0,75,5,0,30,463,0,336,391,258,542,477,82,443,0,0,0,31,119,0,0,303,0,2,60,0,0,37,306,0,0,0,0,95,0,388,523,0,547,619,151,165,95,328,0,104,0,0,0,0
C10H20O4S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,22,0,0,0,0,0,0,10,0,0,0,0,0,0,1401,191,0,4,185,0,0,0,0,0,0,0,0,0,0,0,21,0,0,11,100,0,0,100,83,0,20,0,0,0
C10H20O5,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,60,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,16,0,11,77,0,0,48,0,0,0,19,0,0,0,0,0,0
C10H20O5S,84,36,0,124,0,0,141,34,176,10,0,0,0,0,0,382,229,34,25,15,15,0,0,0,0,188,70,6,3,5,145,400,16,0,0,0,0,0,0,0,57,12,0,100,118,92,250,179,149,103,167,101,53,175,14,0,196,0,0,0
C10H20O5S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
C10H20O6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
C10H20O6S,195,176,192,228,106,4,121,22,167,27,0,0,3,0,0,671,392,77,52,54,60,76,0,21,0,125,104,4,13,7,97,573,3,1,54,0,0,0,47,0,145,51,202,130,148,264,525,435,362,412,271,0,97,224,7,0,328,0,0,0
C10H20O6S2,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,38,0,0,0,25,0,0,0,0,62,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,6,0,0,0,15,48,0,27,0,26,0,6,0,0,0,19,0,0,0
C10H21O11N3S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H21O12N,0,0,40,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,47,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H21O12N3,0,0,36,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,22,0,0,0,0,0,0,45,0,0,0,0,380,281,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,257,7,0,0,0,0,0
C10H21O12N3S,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H21O5N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H21O5NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H21O7N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0
C10H21O8N,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H21O8N3S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H21O9NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H21ON3S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H22O11N2S,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1289,0,0,0,0,0,64
C10H22O3S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,13,0,0,0
C10H22O4S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,379,45,127,0,0,0,0,0,0,345,143,8,2,821,0,191,4,0,0,0,10,0,77,930,0,30,0,0,0,60,0,0,76,135,0,103,67,711,176
C10H22O4S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,19,0,0
C10H22O5S,0,0,21,121,0,0,146,20,97,17,0,0,0,0,0,1042,469,45,68,35,0,0,0,0,0,225,177,4,16,13,349,601,39,12,683,0,0,0,0,0,0,11,0,48,0,190,418,375,319,361,229,76,66,128,260,0,397,0,0,0
C10H22O5S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
C10H22O6S,102,78,54,126,0,1,0,14,104,4,0,0,0,0,18,265,81,0,0,7,50,104,0,0,0,0,2,0,0,0,0,371,0,2,0,0,0,3,0,0,0,6,145,56,0,98,246,222,149,201,134,95,34,171,2,0,93,0,0,0
C10H22O6S2,82,0,0,152,31,10,146,22,115,8,250,646,47,945,0,239,145,55,46,40,155,140,13,130,3,469,561,52,89,67,0,0,8,5,164,307,0,9,190,166,0,2,0,0,0,102,135,163,157,165,250,235,119,0,0,186,75,0,0,104
C10H22O7N2S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,102,0,5,0,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
C10H22ON2S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0
C11H17O10N3S,0,0,0,0,0,0,22,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C11H17O4N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C11H17O5NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C11H17O8N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C11H17O8N3S,0,0,0,0,0,0,65,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C11H17O9N3S,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C11H17ON3S,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C11H18O3N2S,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C11H18O4,949,796,802,0,775,29,355,0,406,71,0,0,0,0,8,0,0,298,0,146,357,0,25,155,0,0,0,7,0,13,99,516,0,0,113,0,0,20,0,60,0,0,0,580,0,131,352,0,0,395,92,302,153,288,0,101,0,0,0,0
C11H18O4S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,19,0,0,10,0,0,0,35,0,0,48,0,0,0,0,0,0
C11H18O5,593,661,679,497,414,15,254,74,247,31,53,198,14,209,0,247,209,102,129,74,245,184,14,108,0,75,0,0,4,0,394,399,0,0,66,0,0,19,224,100,336,75,330,513,0,62,248,314,171,245,165,151,84,298,17,214,0,12,0,0
C11H18O5S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,28,15,0,0,0,0,0,0,0,0,0,0,0,0,101,131,0,0,0,0,0,0,0,0,0,3,0,23,0,11,46,0,21,11,19,0,5,0,0,62,17,0,0,0
C11H18O5S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
C11H18O6,239,210,233,159,196,3,89,13,0,3,0,0,1,0,0,0,83,18,26,6,76,99,1,0,0,37,0,0,0,0,172,153,4,0,22,252,266,16,198,0,115,11,140,211,232,32,118,139,46,90,46,0,10,124,0,226,41,20,0,0
C11H18O6S,0,0,13,0,0,0,0,7,0,2,0,0,0,0,0,207,73,7,0,10,0,0,0,0,0,0,30,3,6,5,75,210,0,2,0,0,0,0,0,0,0,5,134,0,0,38,121,84,51,49,37,0,28,93,1,0,19,0,0,0
C11H18O6S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,70,34,6,13,4,0,75,2,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,15,0,0,0,0,0,11,0,0,0
C11H18O7,244,179,128,136,98,4,58,9,0,2,21,70,7,0,0,0,0,3,0,0,51,87,0,25,0,0,0,0,0,0,73,70,0,0,0,0,0,0,0,24,61,5,0,66,0,17,97,61,39,49,30,0,14,81,0,0,10,0,0,0
C11H18O7S,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,186,62,0,0,1,0,0,3,0,0,64,34,2,7,6,0,183,2,1,0,0,0,0,0,0,33,7,0,38,0,33,123,100,61,100,57,0,18,77,0,0,15,0,0,0
C11H18O7S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,9,0,0,0
C11H19O10N,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C11H19O11NS,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C11H19O4N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,5,4,0,0,0,0,0,48,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,20,70,0,0,0,0,0,0,2,0,0,0,0,0
C11H19O4NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
C11H19O5NS,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,30,53,22,0,0,0,0,0,0,0,0,0,0,0
C11H19O7N3S2,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C11H19O8N,0,69,50,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,102,13,167,79,230,0,0,58,0,0,0,0,0,24,0,0,0,0,0,0
C11H19O9N,0,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C11H20O3N2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,276,35,0,0,0,0,0,0,0
C11H20O4,1330,1439,1793,1140,1605,103,420,347,843,174,115,294,29,0,124,828,1033,835,1276,463,794,800,170,642,0,433,0,46,106,0,922,1037,0,10,236,0,0,40,271,0,1262,394,688,1167,0,448,698,716,660,835,631,397,372,841,52,642,0,102,235,0
C11H20O4S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,10,0,0,0
C11H20O4S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C11H20O5,1707,1410,1739,1012,1167,8,301,78,323,26,0,0,1,0,9,415,425,153,151,96,317,234,38,188,12,1376,298,52,136,74,485,462,0,1,60,0,0,16,170,54,470,127,437,800,435,99,310,295,256,337,283,175,108,316,23,176,94,12,297,0
C11H20O5S,85,76,48,126,36,0,0,0,0,0,0,0,0,0,0,197,63,0,0,6,0,0,0,0,0,109,32,0,4,1,71,225,5,29,93,0,0,0,0,0,98,10,0,96,121,12,63,80,53,32,93,89,30,79,0,170,50,0,0,0
C11H20O5S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,69,25,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,23,0,0,0
C11H20O6,377,147,278,223,183,6,71,9,111,7,0,0,0,0,0,144,91,34,35,11,115,93,5,53,0,65,13,0,0,0,202,204,0,0,26,0,0,4,80,0,137,0,210,302,226,26,117,149,0,106,84,76,29,187,4,0,13,4,0,0
C11H20O6S,103,92,59,0,46,8,102,35,163,8,0,0,0,0,4,413,247,40,29,31,36,0,1,0,0,149,109,8,42,18,264,499,16,10,139,0,0,0,0,0,88,29,135,109,193,96,262,218,194,191,254,91,73,183,7,351,236,27,0,0
C11H20O6S2,0,0,0,0,2126,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,67,0,19,0,2,5,0,109,3,0,0,0,0,0,0,0,0,0,0,18,0,0,45,90,22,0,0,0,0,0,0,0,28,0,0,0
C11H20O7,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0
C11H20O7S,0,109,64,113,51,5,109,28,112,13,0,0,0,0,0,429,340,65,55,32,61,88,3,0,0,82,64,10,23,5,164,364,28,2,68,0,0,0,0,0,109,22,184,89,167,197,424,315,327,298,153,0,37,173,4,180,172,0,0,0
