,BH2,BH6,BH10,BH14,BH15,DD1,DD5,DD9,DD13,DD15,DY2,DY6,DY10,DY13,DY15,LYG1,LYG5,LYG7,LYG13,LYG15,NB1,NB4,NB7,NB12,NB15,SY1,SY7,SY11,SY13,SY15,ST1,ST7,ST10,ST13,ST15,WZ1,WZ5,WZ10,WZ14,WZ15,XM2,XM6,XM10,XM14,XM15,YC1,YC5,YC9,YC13,YC15,ZH1,ZH5,ZH9,ZH13,ZH15,QD4,QD9,QD10,QD12,QD13
C20H35O9N,279,348,292,305,181,3,0,0,0,6,0,0,0,0,0,260,160,29,58,41,155,129,11,0,0,60,45,4,13,0,187,213,22,3,0,0,0,0,0,0,152,39,246,130,241,75,171,185,113,112,126,126,37,246,21,0,9,0,0,0
C20H35O9N3S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C20H35O9NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,21,0,0,0,12,0,0,45,23,0,0,0,0,0,0,0,0,0,0
C20H36O10,0,0,13,0,0,3,0,21,108,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,45,135,28,75,104,57,80,0,0,8,0,0,0,0,3,0,0
C20H36O10N2S,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C20H36O10S,0,0,0,0,0,2,0,0,165,3,0,0,0,0,0,198,137,0,24,10,32,0,0,0,0,109,69,5,0,4,0,235,26,3,0,0,0,0,0,0,0,4,0,0,0,117,363,0,0,227,112,0,31,231,8,0,0,0,0,0
C20H36O11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C20H36O11S,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,23,0,0,0,0,0,257,113,0,0,24,0,0,1,102,125,5,0,0,0,0,0,0,0,0,0,0,0,0,33,161,0,0,81,0,0,0,122,1,0,16,0,0,0
C20H36O4N2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C20H36O5N2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,15,25,9,177,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0
