host,BH2_FDSW220017122-1r,BH4_FDSW220017124-1r,BH6_FDSW220017126-1r,BH8_FDSW220017128-1r,BH10_FDSW220017130-1r,BH12_FDSW220017132-1r,BH14_FDSW220017134-1r,BH15_FDSW220017135-1r,DD1_FDSW220008388-1r,DD3_FDSW220008390-2r,DD5_FDSW220008392-2r,DD7_FDSW220008394-1r,DD9_FDSW220008396-1r,DD11_FDSW220008398-1r,DD13_FDSW220008400-2r,DD15_FDSW220008402-2r,DY2_FDME210438600-1b,DY3_FDME210438601-1r,DY6_FDME210438604-1r,DY7_FDME210438605-1r,DY10_FDME210438608-1r,DY11_FDME210438609-1r,DY13_FDME210438611-1b,DY15_FDME210438613-1r,LYG1_FDME210455382-1r,LYG3_FDME210455384-1r,LYG5_FDME210455386-1r,LYG6_FDME210455387-1r,LYG7_FDME210455388-1r,LYG11_FDME210455392-2r,LYG13_FDME210455394-1a,LYG15_FDME210455396-1a,NB1_FDME210455352-1r,NB2_FDME210455353-1r,NB4_FDME210455355-1r,NB6_FDME210455357-1r,NB7_FDME210455358-1r,NB11_FDME210455362-1b,NB12_FDME210455363-1r,NB15_FDME210455366-1r,SY1_FDME210455397-2a,SY3_FDME210455399-2a,SY7_FDME210455403-2a,SY9_FDME210455405-2a,SY11_FDME210455407-1r,SY12_FDME210455408-1r,SY13_FDME210455409-2a,SY15_FDME210455411-2a,ST1_FDME220007465-1r,ST3_L1,ST7_FDME220007471-1r,ST9_L1,ST10_L1,ST12_L1,ST13_L1,ST15_L1,WZ1_L1,WZ3_L1,WZ5_L1,WZ7_FDME210455463-1r,WZ10_L1,WZ11_L1,WZ14_L1,WZ15_FDME210455471-1r,XM2_FDME220007436-1r,XM4_FDME220007438-1r,XM6_FDME220007440-1r,XM8_FDME220007442-1r,XM10_FDME220007444-1r,XM12_FDME220007446-1r,XM14_FDME220007448-1r,XM15_FDME220007449-1r,YC1_FDME220007405-1r,YC3_FDME220007407-1r,YC5_FDME220007409-1r,YC7_FDME220007411-1a,YC9_FDME220007413-1r,YC11_FDME220007415-1r,YC13_FDME220007417-1r,YC15_FDME220007419-1r,ZH1_FDSW220008784-1r,ZH3_FDSW220008786-1r,ZH5_FDSW220008788-1r,ZH7_FDSW220008790-1r,ZH9_FDSW220008792-2r,ZH11_FDSW220008794-2r,ZH13_FDSW220008796-2r,ZH15_FDSW220008798-2r,CXD_1412_FDSW210423229-1r,CXD_1414_FDSW210423231-1r,CXD_1604_FDSW210423236-1r,CXD_1609_FDSW210423241-1r,CXD_1610_FDSW210423242-1r,CXD_1611_FDSW210423243-1r,CXD_1612_FDSW210423244-1r,CXD_1613_FDSW210423245-1r
JS_LYG_bin_56,0,0,0,0,0,0,8.691069698,2.783960625,5.672423484,20.18489049,17.92933628,11.77743127,13.86785173,12.99014958,7.331242157,14.97903465,0,1.613720188,0,0,0,0,0,0,37.32741516,43.42492588,32.9594289,23.79747049,15.60523173,46.76000442,11.66112209,0.01273388,0.385959665,0,0.33346746,0.305096353,0.280354992,0.251442427,0.076449774,0,0.503372721,0,0.300632589,0,0,0,0.149442183,0.034784978,6.399043384,10.32004317,11.74603606,18.87767242,12.62390949,6.910910556,9.923335813,11.23741142,1.117222328,1.290938395,1.628721655,0.507599128,1.314013076,1.482971358,0.934903816,2.260728106,9.509623042,10.63759001,9.300331219,13.52885265,9.230859257,9.219671551,13.74808341,11.05770693,0.217506731,0.315403271,0.052338509,0.0851799,0.34559954,0.451912004,0.351262293,0.331678933,15.53335635,10.53711572,15.8488738,11.48664301,12.33403198,13.75279349,15.68761096,11.76722652,5.204975387,7.032618981,10.79080945,21.35647215,3.868877635,5.830177622,4.481802868,5.263426894
JS_LYG_bin_60,0,0,0,0,0,0,0,0,1.136490776,1.753567803,3.635466042,1.297417981,2.045932421,1.393064251,1.301083367,1.579447023,0,0,0,0,0,0,0,0,8.570136433,7.544819047,3.537002809,5.565907797,3.921175654,1.597017808,0.320878827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16351328,0.201801455,0,0,0,0,0,0.033615732
JS_LYG_bin_69,0,0,0,0,0,0,0,0,6.316599745,3.689246301,5.247701037,5.461970524,6.069567663,4.618584153,5.029326848,3.248484696,0,0,0,0,0,0,0,0,17.67350989,35.83916295,28.16564922,35.11877512,42.71232714,29.92145672,6.204858953,0,11.67352915,5.715566804,12.28376347,11.82063329,14.29456083,13.19542253,9.645242678,12.11239913,0,0,0,0,0,0,0,0,2.001475211,5.234901831,1.157833992,3.846474491,0.196007528,0,1.784926822,1.051829993,24.68169899,29.31775612,36.08227901,27.54567075,16.39586233,21.62362223,22.29477836,14.78668722,2.875391204,6.750555545,5.406880863,7.063419578,7.149559922,6.675050026,4.924787899,4.729004845,1.626124145,1.913456498,2.198415081,1.408428139,2.958903712,2.110686803,2.253797922,1.976152384,0,0,0,0,0,0,0,0,52.16937009,43.99821487,29.12419153,10.06769779,44.37739854,43.21971607,40.38557846,39.51262289
JS_LYG_bin_7,0,0,0,0,0,0,0,0,0.104876395,0.0768697,0,0.971380962,0.474847259,0.362576117,0.355864317,0.671337064,0,0,0,0,0,0,0,0,3.349274789,8.788022711,7.461331752,1.508519357,0.504865499,19.07761493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.438575247,3.38745808,3.221585694,2.329011979,1.745710205,2.869626275,2.178169778,1.427663117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JS_LYG_bin_72,0,0,0,0,0,0,0,0,3.50729124,2.041507349,1.317206131,1.255066686,1.651006883,2.026874753,2.920352196,1.311085561,0,0,0,0,0,0,0,0,12.52699281,7.519865524,10.9847855,29.28705225,38.49621897,2.665033932,13.95307977,4.221476933,8.7871031,3.13122264,9.068529465,8.938132497,10.70767722,7.758225458,6.914642692,7.935920659,0,0,0,0,0,0,0,0,13.51626504,21.12581899,8.09075287,10.44463206,3.631456834,1.914913716,6.84649734,7.631076439,28.90862909,31.67070043,50.68083806,28.44635342,32.86899902,28.41104412,30.92648912,8.917180891,13.91820789,18.89748946,16.57735297,11.79450631,17.42501833,21.60755336,9.925513946,17.20432548,1.523708866,1.099170581,1.376995128,0.719262007,1.137619848,1.44374718,1.536008679,1.093334059,0,1.217735426,0,1.162024798,0.81368936,0.411531917,0.42105356,0.739759187,37.14470152,41.8430999,7.460139001,6.076702472,51.78048917,44.49060253,47.73310527,41.03846619
JS_LYG_bin_77,0,0,0,0,0,0,0,0,17.62707948,25.09381192,22.39734224,25.9979843,35.8797039,22.70260186,21.26270408,13.9405429,0,0.493057655,0,0,0,0,0,0,7.523300695,14.64135393,18.77391757,29.860488,26.24760817,22.4050697,13.31715672,18.34510629,0.179059996,0,0.043347265,0,0,0,0,0,0,0,0,0,0,0,0,0,1.477020631,8.297029888,0.921164046,2.132147652,0,0,1.065076914,1.84506665,1.568477408,0.935473468,1.204260026,0.554774489,1.014361897,0.982396495,0.326249318,0.499979965,14.72872842,21.37270872,34.6029613,48.96813647,51.51984394,38.21906119,28.23361959,19.16870878,0,0,0.17389791,0,0.135421044,0.185946614,0,0,1.148426839,13.36022487,2.615440514,17.85288309,15.0171765,12.84029861,11.73707678,12.51575386,5.806135095,2.497075675,1.266615358,2.183826775,2.508798696,2.240334748,1.910402309,2.339706312
JS_LYG_bin_79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.57195125,43.98692671,16.53651159,3.170354291,15.89221383,34.43550721,1.625628803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183304036,0.221295854,1.05241267,2.071329015,1.047980395,0.379495174,0.400199892,0.328712814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.519642233,0.304581173,0,0,0,0,0,0
JS_LYG_bin_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.43322275,18.28551226,53.27554885,7.617630263,9.717128456,81.04886832,7.264859913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.731501929,5.244047674,12.85455611,8.149612907,7.347131704,10.87526046,5.856886571,6.164220174,0,0.192001847,0,0,0,0,0,0.302776821,0,0,0,0,0,0,0,0
JS_LYG_bin_80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.896692445,23.47114796,0,0,31.05278571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JS_LYG_bin_81,0,0,0,0,0,0,0,0,9.72736067,3.491122352,3.944553718,3.593219159,3.695522907,4.282985212,7.152244513,2.39667204,0,0,0,0,0,0,0,0,6.848194036,14.74336039,12.62180235,8.532232029,8.786906945,12.31827297,1.82776332,0,0.420320397,0.093159123,0.911221553,0.600614587,0.589999497,1.233992083,1.141287504,0.863709723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276678522,0.08944784,0.321535951,0.052694369,0.746679969,0.269962301,0.474397473,0,0,0,0,0,0,0,0,0,2.644036619,3.199601993,3.943347929,3.223982155,3.733663706,3.292411075,3.206964894,3.081910837,0,0,0,0,0,0,0,0,15.30914697,15.21140085,5.759403779,9.61593743,20.33640101,17.85425495,19.88872071,16.05952881
