	Sample	Longitude	Latitude		Type	Richness
80	YC15_FDME220007419-1r	120.9748363	32.82356196	4100	vOTUs	820
81	ZH1_FDSW220008784-1r	113.6442374	22.43845252	1502	vOTUs	300.4
82	ZH3_FDSW220008786-1r	113.6442374	22.43845252	1932	vOTUs	386.4
83	ZH5_FDSW220008788-1r	113.6442374	22.43845252	1674	vOTUs	334.8
84	ZH7_FDSW220008790-1r	113.6442374	22.43845252	1802	vOTUs	360.4
85	ZH9_FDSW220008792-2r	113.6442374	22.43845252	1906	vOTUs	381.2
86	ZH11_FDSW220008794-2r	113.6442374	22.43845252	1806	vOTUs	361.2
87	ZH13_FDSW220008796-2r	113.6442374	22.43845252	1862	vOTUs	372.4
88	ZH15_FDSW220008798-2r	113.6442374	22.43845252	1837	vOTUs	367.4
89	CXD_1412_FDSW210423229-1r	120.7538438	36.45812023	4103	vOTUs	820.6
90	CXD_1414_FDSW210423231-1r	120.7538438	36.45812023	4263	vOTUs	852.6
91	CXD_1604_FDSW210423236-1r	120.7538438	36.45812023	3520	vOTUs	704
92	CXD_1609_FDSW210423241-1r	120.7538438	36.45812023	3590	vOTUs	718
93	CXD_1610_FDSW210423242-1r	120.7538438	36.45812023	3913	vOTUs	782.6
94	CXD_1611_FDSW210423243-1r	120.7538438	36.45812023	3955	vOTUs	791
95	CXD_1612_FDSW210423244-1r	120.7538438	36.45812023	3876	vOTUs	775.2
96	CXD_1613_FDSW210423245-1r	120.7538438	36.45812023	3874	vOTUs	774.8
97	BH2_FDSW220017122-1r	109.1590941	21.55293944	328	mOTUs	328
98	BH4_FDSW220017124-1r	109.1590941	21.55293944	316	mOTUs	316
99	BH6_FDSW220017126-1r	109.1590941	21.55293944	338	mOTUs	338
100	BH8_FDSW220017128-1r	109.1590941	21.55293944	304	mOTUs	304
101	BH10_FDSW220017130-1r	109.1590941	21.55293944	333	mOTUs	333
102	BH12_FDSW220017132-1r	109.1590941	21.55293944	319	mOTUs	319
103	BH14_FDSW220017134-1r	109.1590941	21.55293944	367	mOTUs	367
104	BH15_FDSW220017135-1r	109.1590941	21.55293944	351	mOTUs	351
105	DD1_FDSW220008388-1r	123.6935985	39.81195629	454	mOTUs	454
106	DD3_FDSW220008390-2r	123.6935985	39.81195629	446	mOTUs	446
107	DD5_FDSW220008392-2r	123.6935985	39.81195629	455	mOTUs	455
108	DD7_FDSW220008394-1r	123.6935985	39.81195629	461	mOTUs	461
109	DD9_FDSW220008396-1r	123.6935985	39.81195629	469	mOTUs	469
110	DD11_FDSW220008398-1r	123.6935985	39.81195629	480	mOTUs	480
111	DD13_FDSW220008400-2r	123.6935985	39.81195629	475	mOTUs	475
112	DD15_FDSW220008402-2r	123.6935985	39.81195629	465	mOTUs	465
113	DY2_FDME210438600-1b	119.164238	37.79432153	543	mOTUs	543
114	DY3_FDME210438601-1r	119.164238	37.79432153	510	mOTUs	510
115	DY6_FDME210438604-1r	119.164238	37.79432153	534	mOTUs	534
116	DY7_FDME210438605-1r	119.164238	37.79432153	497	mOTUs	497
117	DY10_FDME210438608-1r	119.164238	37.79432153	576	mOTUs	576
118	DY11_FDME210438609-1r	119.164238	37.79432153	479	mOTUs	479
119	DY13_FDME210438611-1b	119.164238	37.79432153	501	mOTUs	501
120	DY15_FDME210438613-1r	119.164238	37.79432153	503	mOTUs	503
121	LYG1_FDME210455382-1r	119.2052329	34.89410646	468	mOTUs	468
122	LYG3_FDME210455384-1r	119.2052329	34.89410646	459	mOTUs	459
123	LYG5_FDME210455386-1r	119.2052329	34.89410646	437	mOTUs	437
124	LYG6_FDME210455387-1r	119.2052329	34.89410646	534	mOTUs	534
125	LYG7_FDME210455388-1r	119.2052329	34.89410646	511	mOTUs	511
126	LYG11_FDME210455392-2r	119.2052329	34.89410646	378	mOTUs	378
127	LYG13_FDME210455394-1a	119.2052329	34.89410646	313	mOTUs	313
128	LYG15_FDME210455396-1a	119.2052329	34.89410646	89	mOTUs	89
129	NB1_FDME210455352-1r	122.0301193	29.82061002	598	mOTUs	598
130	NB2_FDME210455353-1r	122.0301193	29.82061002	489	mOTUs	489
131	NB4_FDME210455355-1r	122.0301193	29.82061002	598	mOTUs	598
132	NB6_FDME210455357-1r	122.0301193	29.82061002	570	mOTUs	570
133	NB7_FDME210455358-1r	122.0301193	29.82061002	579	mOTUs	579
134	NB11_FDME210455362-1b	122.0301193	29.82061002	567	mOTUs	567
135	NB12_FDME210455363-1r	122.0301193	29.82061002	542	mOTUs	542
136	NB15_FDME210455366-1r	122.0301193	29.82061002	518	mOTUs	518
137	SY1_FDME210455397-2a	109.6807945	18.27040352	220	mOTUs	220
138	SY3_FDME210455399-2a	109.6807945	18.27040352	254	mOTUs	254
139	SY7_FDME210455403-2a	109.6807945	18.27040352	246	mOTUs	246
140	SY9_FDME210455405-2a	109.6807945	18.27040352	246	mOTUs	246
141	SY11_FDME210455407-1r	109.6807945	18.27040352	229	mOTUs	229
142	SY12_FDME210455408-1r	109.6807945	18.27040352	241	mOTUs	241
143	SY13_FDME210455409-2a	109.6807945	18.27040352	257	mOTUs	257
144	SY15_FDME210455411-2a	109.6807945	18.27040352	261	mOTUs	261
145	ST1_FDME220007465-1r	116.7255591	23.32790454	522	mOTUs	522
146	ST3_L1	116.7255591	23.32790454	565	mOTUs	565
