"","PCNM1","PCNM2","PCNM3","PCNM4","PCNM5","PCNM6","PCNM7"
"BH2_FDSW220017122-1r",-0.116277289704201,0.110628224462304,0.142220083699399,-0.148331121049231,-0.161206682072603,0.00962621975133297,0.000150160379255307
"BH4_FDSW220017124-1r",-0.116277289704198,0.110628224462302,0.142220083699396,-0.148331121049228,-0.161206682072604,0.00962621975132029,0.000150160383361612
"BH6_FDSW220017126-1r",-0.116277289704201,0.110628224462303,0.1422200836994,-0.148331121049229,-0.161206682072606,0.00962621975133053,0.000150160378951263
"BH8_FDSW220017128-1r",-0.1162772897042,0.110628224462304,0.142220083699398,-0.14833112104923,-0.161206682072603,0.00962621975133266,0.000150160380715096
"BH10_FDSW220017130-1r",-0.1162772897042,0.110628224462305,0.142220083699399,-0.14833112104923,-0.161206682072603,0.00962621975133754,0.000150160379743621
"BH12_FDSW220017132-1r",-0.1162772897042,0.110628224462304,0.142220083699398,-0.14833112104923,-0.161206682072604,0.0096262197513306,0.000150160378212375
"BH14_FDSW220017134-1r",-0.1162772897042,0.110628224462303,0.142220083699399,-0.148331121049229,-0.161206682072605,0.00962621975133591,0.000150160379870888
"BH15_FDSW220017135-1r",-0.1162772897042,0.110628224462304,0.142220083699399,-0.14833112104923,-0.161206682072606,0.00962621975133326,0.000150160379624498
"DD1_FDSW220008388-1r",0.0301030736008619,0.126564728092245,-0.210690847513422,-0.11868958356767,0.0217266134932722,-0.010581291379646,-0.000453696586203119
"DD3_FDSW220008390-2r",0.0301030736008619,0.126564728092245,-0.210690847513422,-0.11868958356767,0.0217266134932726,-0.0105812913796478,-0.000453696586304836
"DD5_FDSW220008392-2r",0.0301030736008619,0.126564728092245,-0.210690847513422,-0.11868958356767,0.0217266134932727,-0.0105812913796489,-0.000453696586162265
"DD7_FDSW220008394-1r",0.0301030736008619,0.126564728092245,-0.210690847513422,-0.11868958356767,0.0217266134932726,-0.0105812913796484,-0.000453696585749076
"DD9_FDSW220008396-1r",0.0301030736008619,0.126564728092245,-0.210690847513422,-0.11868958356767,0.0217266134932727,-0.0105812913796482,-0.000453696585694733
"DD11_FDSW220008398-1r",0.0301030736008619,0.126564728092245,-0.210690847513422,-0.11868958356767,0.0217266134932727,-0.0105812913796485,-0.000453696585631534
"DD13_FDSW220008400-2r",0.0301030736008619,0.126564728092245,-0.210690847513422,-0.11868958356767,0.0217266134932726,-0.0105812913796482,-0.000453696585597419
"DD15_FDSW220008402-2r",0.0301030736008619,0.126564728092245,-0.210690847513422,-0.11868958356767,0.0217266134932726,-0.0105812913796486,-0.000453696585549102
"DY2_FDME210438600-1b",0.0873078376153117,0.0189910132847432,0.0881043257391407,0.147433374156148,-0.112543884125767,-0.0873435321367057,0.0162742024268852
"DY3_FDME210438601-1r",0.0873078376153117,0.0189910132847432,0.0881043257391407,0.147433374156148,-0.112543884125767,-0.0873435321367055,0.0162742024268117
"DY6_FDME210438604-1r",0.0873078376153117,0.0189910132847432,0.0881043257391408,0.147433374156148,-0.112543884125767,-0.0873435321367056,0.0162742024266933
"DY7_FDME210438605-1r",0.0873078376153117,0.0189910132847433,0.0881043257391408,0.147433374156148,-0.112543884125767,-0.0873435321367053,0.0162742024268222
"DY10_FDME210438608-1r",0.0873078376153117,0.0189910132847433,0.0881043257391408,0.147433374156148,-0.112543884125767,-0.087343532136705,0.0162742024268699
"DY11_FDME210438609-1r",0.0873078376153117,0.0189910132847433,0.0881043257391408,0.147433374156148,-0.112543884125767,-0.0873435321367056,0.0162742024267436
"DY13_FDME210438611-1b",0.0873078376153117,0.0189910132847433,0.0881043257391408,0.147433374156148,-0.112543884125767,-0.0873435321367053,0.0162742024267618
"DY15_FDME210438613-1r",0.0873078376153117,0.0189910132847433,0.0881043257391408,0.147433374156148,-0.112543884125767,-0.0873435321367053,0.0162742024268387
"LYG1_FDME210455382-1r",0.0832519685838454,-0.0692701073022133,0.0938216911079416,0.021536506578405,0.0353347624813334,-0.124606049414043,-0.177341900382873
"LYG3_FDME210455384-1r",0.0832519685838454,-0.0692701073022133,0.0938216911079416,0.021536506578405,0.0353347624813333,-0.124606049414043,-0.177341900382754
