,distv_num,dist_loca_num,Type
3272,-3.408920777,5.794732382,Host
1644,-3.402630014,5.507657415,Host
10061,-3.401794843,6.377449076,Virus
1972,-3.39980066,6.049067775,Host
10069,-3.392813437,6.377449076,Virus
10062,-3.392664936,6.377449076,Virus
1648,-3.392186173,5.970751066,Host
1426,-3.382861898,6.377449076,Host
10068,-3.380416961,6.377449076,Virus
1861,-3.380248849,5.507657415,Host
1655,-3.378093163,6.377449076,Host
10053,-3.372564321,6.377449076,Virus
10087,-3.371084699,6.377449076,Virus
10083,-3.369152789,6.377449076,Virus
1000,-3.36366304,5.723030061,Host
1664,-3.359540661,6.210694031,Host
10072,-3.353819942,6.377449076,Virus
1083,-3.348086597,5.723030061,Host
831,-3.347459351,5.723030061,Host
1867,-3.346929427,5.507657415,Host
1246,-3.344285604,5.723030061,Host
1645,-3.343263053,5.507657415,Host
1666,-3.343055272,6.210694031,Host
1641,-3.342711232,5.507657415,Host
745,-3.340188569,5.723030061,Host
10089,-3.338718571,6.377449076,Virus
10060,-3.331792414,6.377449076,Virus
9791,-3.330487449,6.319760596,Virus
1640,-3.326950441,5.507657415,Host
1326,-3.324899981,5.723030061,Host
916,-3.317111269,5.723030061,Host
1908,-3.316810282,6.167947556,Host
1165,-3.316751019,5.723030061,Host
1804,-3.314475329,6.377449076,Host
393,-3.310544166,6.319760596,Host
1642,-3.308951339,5.507657415,Host
1949,-3.30541452,6.377449076,Host
1944,-3.304880951,5.970751066,Host
1643,-3.301653345,5.507657415,Host
7131,-3.301492724,5.794732382,Virus
10065,-3.299078321,6.377449076,Virus
9783,-3.288436975,6.319760596,Virus
7134,-3.287499713,5.794732382,Virus
1945,-3.284980882,5.970751066,Host
10057,-3.277619707,6.377449076,Virus
10066,-3.275155981,6.377449076,Virus
1943,-3.273173378,5.970751066,Host
659,-3.271934775,6.319760596,Host
1639,-3.266834545,5.507657415,Host
1678,-3.266049182,6.049067775,Host
1708,-3.255762313,5.350435739,Host
1626,-3.255350646,6.255168341,Host
2002,-3.253278299,5.350435739,Host
1624,-3.253271613,6.255168341,Host
1620,-3.252074448,6.255168341,Host
10064,-3.249703093,6.377449076,Virus
3320,-3.242113824,5.794732382,Host
10056,-3.237652554,6.377449076,Virus
10052,-3.236135414,6.377449076,Virus
7126,-3.224155244,5.794732382,Virus
210,-3.221034006,6.319760596,Host
117,-3.219097598,6.319760596,Host
7129,-3.218132583,5.794732382,Virus
1941,-3.214459737,5.970751066,Host
1841,-3.212380831,5.766225705,Host
23,-3.212349455,6.319760596,Host
302,-3.212023574,6.319760596,Host
10050,-3.21087082,6.377449076,Virus
1843,-3.209883062,5.766225705,Host
2003,-3.205209537,5.350435739,Host
1795,-3.202709561,5.507657415,Host
9446,-3.202520444,6.255168341,Virus
