Candidatus.Falkowbacteria Chlamydiae Fibrobacteres Candidatus.Latescibacteria Candidatus.Parcubacteria Calditrichaeota Tenericutes Candidatus.Kariarchaeota Candidatus.Bathyarchaeota Spirochaetes candidate.division.WWE3 Candidatus.Rokubacteria candidate.division.Zixibacteria Candidatus.Schekmanbacteria Candidatus.Dadabacteria Candidatus.Krumholzibacteriota Candidatus.Hydrogenedentes Nitrospinae Euryarchaeota Ignavibacteriae Deinococcus.Thermus Thaumarchaeota Rhodothermaeota Thermoplasmatota Lentisphaerae Kiritimatiellaeota Candidatus.Aminicenantes Candidatus.Eisenbacteria Unclassified.Bacteria Verrucomicrobia Other.Proteobacteria Nitrospirae Thermodesulfobacteria Gemmatimonadetes Proteobacteria.Betaproteobacteria Firmicutes Planctomycetes Cyanobacteria Actinobacteria Bacteroidetes Acidobacteria Proteobacteria.Alphaproteobacteria Chloroflexi Proteobacteria.Deltaproteobacteria Proteobacteria.Gammaproteobacteria TOC..g.kg.
Candidatus.Falkowbacteria 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Chlamydiae NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Fibrobacteres NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
candidate.division.WWE3 NA NA NA 0.140594430177668 -0.130510394632248 0.133727641795947 -0.200806901825568 -0.00907760154273929 NA NA 1 -0.0802782683391792 -0.0416201130578402 -0.0266801521937156 -0.0313991379655158 -0.0516760786592148 -0.16233248752868 -0.108479255684966 0.357207765049251 -0.153063495456821 -0.0142401233419292 -0.111586504366534 -0.181133474142705 0.140170183869778 0.122872252817416 0.237296422318782 0.171769322381531 0.37416546886829 0.0122396764682265 -0.00162088599988014 0.35554652680882 0.292468442162007 0.0581945606979041 -0.100186904531281 0.260313190318631 -0.0232178126404995 0.255848814485148 -0.211283156152645 0.0129738919017068 0.100455375875551 -0.0817297415166541 -0.0434353501355559 -0.0569395860606755 0.422038672644995 -0.0189557098701197 0.242079913133311
Candidatus.Rokubacteria NA NA NA -0.0259395199608183 -0.0262213723412981 -0.0746521342574572 -0.0403449285116915 -0.0722156277517718 NA NA -0.0802782683391792 1 -0.0712867460511987 -0.0742867773747354 0.265035231075184 -0.0203739121166415 -0.0364093581567527 -0.0787381019897838 -0.0361274591525695 -0.0181136177704123 -0.104544658706288 -0.0366349175058447 -0.0363922604199617 -0.00522734397724461 -0.0203186129146058 -0.0286497149041639 0.232223863367088 -0.0507893541297526 -0.0379989284484049 -0.0449702016858466 -0.0220147237974179 -0.016114209635822 0.0176739583698239 -0.0319443536509225 -0.0576922658064492 -0.0616682801206942 -0.0218551402973885 0.0321454632052983 -0.0232417905352577 -0.0605843037827544 -0.0132133675298432 -0.0144772010440875 -0.0208067036436799 0.2489100369478 0.0427972188462746 -0.123931311278943
candidate.division.Zixibacteria NA NA NA 0.0436173840155528 0.739237350193401 0.0551090478219533 0.816820519628772 0.63932044909525 NA NA -0.0416201130578402 -0.0712867460511987 1 -0.0393350369143234 0.146635660569755 -0.0394114328811122 -0.152557794934029 0.578411278486572 -0.159675358377225 -0.06752495378671 0.758163149905552 -0.0790323534862115 -0.160845721260788 0.0380934244110634 0.122982103080475 -0.0144819675133473 -0.119484365612763 0.0558934318021899 0.0755343534993781 -0.221446900622906 -0.0801635045645146 -0.233213771998225 0.904351884462911 -0.0997987445717945 0.0745451418869278 0.0642323750315902 -0.0817101827468437 0.0741776267178794 -0.268467977439683 0.131648321937966 -0.0740780456201626 -0.0369475360882393 -0.0119579013776933 -0.3098474849194 -0.341764819702085 -0.065284662591577
Candidatus.Schekmanbacteria NA NA NA -0.0108383292955485 -0.0153229249553281 -0.043358704053912 -0.0488332125105337 -0.0630695831196443 NA NA -0.0266801521937156 -0.0742867773747354 -0.0393350369143234 1 -0.00650736809383533 -0.0807729038561316 0.034785192928908 -0.0470223546235342 -0.0618031189004068 -0.0283341441870916 -0.0304852930308267 -0.132911790437265 0.0107168247224604 -0.0150592035628697 -0.00567017950560623 -0.0132486088682371 0.0532635064423707 -0.0978350028743917 -0.0755929755408991 -0.0141044250816046 -0.0113917184681233 -0.0155424239025987 0.0146530208193696 0.0658326597696004 0.0162577431991933 -0.0343328457330828 -0.0639056647214997 0.682881939760505 -0.0664804137675512 0.020492326061293 -0.0758944085780775 -0.0759931125816071 0.0180575215699028 0.0843977669331939 0.272447153146821 -0.00202947031472977
Candidatus.Dadabacteria NA NA NA -0.103232650035388 -0.104354350367532 -0.229837416735676 -0.088727298356363 0.502504483256133 NA NA -0.0313991379655158 0.265035231075184 0.146635660569755 -0.00650736809383533 1 -0.0891752941399146 -0.154449899548798 0.562049306794363 -0.143778040341473 -0.131109580782547 0.280277064690938 -0.0625410688382565 -0.144831881607885 0.243512333115877 0.254868513992656 0.116960899019518 0.178164923518516 0.374093862491791 -0.0187886237981788 -0.250608389731477 -0.0800876065950543 -0.187745905067751 0.348147361811439 -0.101291951093446 -0.16929057166947 -0.0249375587847716 -0.0760768717678638 -0.109322975293704 -0.18748650446379 0.312745990889014 -0.0656776252245242 -0.0242741383470545 -0.108871092198095 0.0759265404957625 -0.193614870942821 -0.327960735949418
Candidatus.Krumholzibacteriota NA NA NA 0.0135978139066407 -0.00465650229632254 -0.0708077181586194 -0.0113278843847763 -0.0711048424354952 NA NA -0.0516760786592148 -0.0203739121166415 -0.0394114328811122 -0.0807729038561316 -0.0891752941399146 1 -0.0542074218012896 -0.08921835298919 -0.00141725597870938 -0.011923392604437 0.0287875730257558 -0.0476348263476068 -0.0523584173249521 -0.023371789610149 -0.0290435490018436 -0.00336224279537228 -0.0288093690810889 -0.0399780673124765 -0.0313195489854417 0.00391916061154754 0.0166009543162578 -0.0343804247266045 -0.067208464099709 -0.0376813003130413 -0.0340434033576426 -0.0657667838269367 0.00249837960844168 -0.0479329476059473 -0.0424018566157607 -0.0675302431690633 -0.0246459032418336 -0.034209623746211 -0.0959177911088775 -0.0233419892202224 0.207067399807183 -0.0658689552135651
Candidatus.Hydrogenedentes NA NA NA -0.0592490538393826 -0.0496180122075771 -0.143359678689178 -0.0780227334329193 -0.149073338989174 NA NA -0.16233248752868 -0.0364093581567527 -0.152557794934029 0.034785192928908 -0.154449899548798 -0.0542074218012896 1 0.11974607067261 -0.0697828151529721 -0.0851357947682361 -0.220072011540398 -0.0904297715540885 0.886624161281187 -0.0403192733898763 -0.0518413303528006 -0.0175978926153775 -0.129701117794696 -0.124916069119412 -0.0859749573343046 0.569249921550232 -0.0484131807911591 -0.114958302237028 -0.191128928030078 0.0607683513311594 0.0399436609182086 -0.135858690731552 -0.040853703403943 -0.0980976104856138 0.830292535169261 0.23657928484505 -0.0421853113277805 -0.0344656717112182 0.519385056541172 0.172260140804879 -0.0111509956707153 -0.0636794454262609
Nitrospinae NA NA NA -0.126630571230939 0.257539383627069 -0.216406257380551 0.407427016599862 0.760555012107874 NA NA -0.108479255684966 -0.0787381019897838 0.578411278486572 -0.0470223546235342 0.562049306794363 -0.08921835298919 0.11974607067261 1 -0.176365668929979 -0.125604717473531 0.597662402399503 -0.0739423754917769 0.172113998175632 0.192932989296216 0.266705186763406 0.075502245093434 -0.305028660236847 0.345751405173485 0.0233546750530295 -0.0796973795103112 -0.0959791482216268 -0.277058924632177 0.665846989281826 -0.0784325944943636 -0.148929886350749 0.0387345450992651 -0.0878730547047771 -0.058319319717186 0.0493282972021423 0.307550068113259 -0.081672297539034 -0.0198231882511657 0.17871276268386 -0.21010331757447 -0.364455752039162 -0.34327553477398
Euryarchaeota NA NA NA -0.0581019947649469 -0.0587333166074428 0.0376863433534473 -0.0903687049228072 -0.161755962790316 NA NA 0.357207765049251 -0.0361274591525695 -0.159675358377225 -0.0618031189004068 -0.143778040341473 -0.00141725597870938 -0.0697828151529721 -0.176365668929979 1 -0.0703306206989975 -0.234169838995907 -0.0606052074050347 -0.081515113911094 -0.0263248440729532 -0.0454047807492196 0.30348870239113 0.114568112150011 0.376024728971385 0.0755700059625918 0.228135646525251 0.60709935216903 0.515955308919344 -0.089568848070685 -0.0496137804047203 -0.0869817872656084 0.0653991494414573 0.423956659223765 -0.0950833114795196 0.173775866227331 -0.0114687513422448 -0.023631097916186 0.452019161087266 0.149436017557067 0.297507743178653 0.087473419397182 0.0172715452515898
Ignavibacteriae NA NA NA -0.0209564435699441 -0.00312583762536218 0.50746021883996 -0.00565900877812939 -0.108562471317367 NA NA -0.153063495456821 -0.0181136177704123 -0.06752495378671 -0.0283341441870916 -0.131109580782547 -0.011923392604437 -0.0851357947682361 -0.125604717473531 -0.0703306206989975 1 -0.129805237108591 -0.0734129238691008 -0.0772984171298185 -0.0361546129282186 -0.0427872927690089 -0.0571780530900224 -0.0949900525483246 -0.0964825567564091 -0.0584698931891607 -0.0802613153501676 -0.0317342670846224 0.543830623539178 -0.108082773842952 -0.0535744461143883 0.040815583363719 -0.109928591750645 -0.0358112814147612 -0.0662313022281955 -0.0778401626311866 -0.0894058825627181 -0.0358416781042461 -0.0315133804027173 -0.120020568314891 -0.0536453732935718 0.0965661026536704 0.118793156403054
