Candidatus.Falkowbacteria Chlamydiae Fibrobacteres Candidatus.Latescibacteria Candidatus.Parcubacteria Calditrichaeota Tenericutes Candidatus.Kariarchaeota Candidatus.Bathyarchaeota Spirochaetes candidate.division.WWE3 Candidatus.Rokubacteria candidate.division.Zixibacteria Candidatus.Schekmanbacteria Candidatus.Dadabacteria Candidatus.Krumholzibacteriota Candidatus.Hydrogenedentes Nitrospinae Euryarchaeota Ignavibacteriae Deinococcus.Thermus Thaumarchaeota Rhodothermaeota Thermoplasmatota Lentisphaerae Kiritimatiellaeota Candidatus.Aminicenantes Candidatus.Eisenbacteria Unclassified.Bacteria Verrucomicrobia Other.Proteobacteria Nitrospirae Thermodesulfobacteria Gemmatimonadetes Proteobacteria.Betaproteobacteria Firmicutes Planctomycetes Cyanobacteria Actinobacteria Bacteroidetes Acidobacteria Proteobacteria.Alphaproteobacteria Chloroflexi Proteobacteria.Deltaproteobacteria Proteobacteria.Gammaproteobacteria TOC..g.kg.
Candidatus.Falkowbacteria 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Chlamydiae NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Fibrobacteres NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
candidate.division.WWE3 NA NA NA 0.398204056565234 -0.215015790780628 0.153097150674472 -0.258610817373618 0.158964946417559 NA NA 1 -0.0931061575881886 0.253316355567714 0.306992088072595 0.0191169681155509 0.216367734387256 0.0566412610557158 -0.0613800830523646 0.313130656801436 -0.290059347181009 0.190889644451762 0.261561731251236 -0.215015790780628 0.198005084681532 0.184317766999788 0.392047654487111 0.215792336088338 0.108986664353535 0.385362882913278 -0.136311876921673 0.269330830205305 0.46105405312479 0.364146623964735 0.309257415168816 0.52026884471815 0.0375827647963649 0.234468037573335 -0.404857997700197 0.275201537870874 0.329373754455101 0.227177740412715 0.17562148488939 0.0178348180947558 0.407001121825411 0.0313848280981039 0.237589964232352
Candidatus.Rokubacteria NA NA NA -0.0447998534549413 -0.0372477687333319 -0.113205692056615 -0.0447998534549413 -0.0817056494017238 NA NA -0.0931061575881886 1 -0.095954732228917 -0.16223026033094 0.2687233065635 0.0517603291450433 0.05474385377136 -0.0845624176507795 -0.0372477687333319 0.0971542513963707 -0.127961269982665 -0.124974476773598 -0.0372477687333319 0.271187310407546 -0.101667157003954 -0.127961269982665 0.249528784666107 -0.104535014482747 -0.16223026033094 -0.0139715054523947 -0.172051900509333 0.104866903495242 0.108644184401218 -0.181585971761253 -0.153871417220358 -0.113205692056615 -0.153649668413368 0.196377017881326 0.125713365065483 -0.202538199272167 0.202562509787933 0.0419044550218277 0.0279363033478851 0.209522275109138 0.11174521339154 -0.132700625959542
candidate.division.Zixibacteria NA NA NA 0.350277288783139 0.536574478340786 0.0919357139692248 0.573890683779133 0.818090331010293 NA NA 0.253316355567714 -0.095954732228917 1 0.202985624081907 0.326036065734121 0.207557480630816 -0.0345252220152014 0.64528426992791 -0.221594179845752 0.110539204454221 0.813110709550622 0.555193269279399 -0.221594179845752 -0.218814249575664 0.789095181245833 0.286496229768066 0.0135187527835088 0.0333921871336793 0.6096229448432 -0.273050930421298 0.208283956675572 -0.0704745979402444 0.808159568487366 0.178894188016031 0.189609804784174 0.145030370486335 -0.139158243949797 0.0576562853682639 -0.30063017156611 0.450175819981354 -0.032210315541312 0.468587356996829 0.119702470506579 -0.203845942657898 -0.565206706469081 -0.0768356613531471
Candidatus.Schekmanbacteria NA NA NA 0.157133499345242 0.0295788616292262 0.0872260913482494 0.0256335960198487 0.0724475045214812 NA NA 0.306992088072595 -0.16223026033094 0.202985624081907 1 -0.00872717667820064 0.190683439299549 0.368931609263613 0.191066062196251 -0.0173749956423427 0.0741277005341423 0.163615082879734 -0.103030046034648 0.234459018578517 0.275649788439505 0.123556259959385 0.46625349816449 0.0639548825272719 -0.264157243335631 0.123580101840971 -0.015711345831683 0.225065243946668 0.41812683852023 0.325695184721717 0.272991825707129 0.533808734671722 -0.0037195510424779 0.0685024773085018 -0.0523192580907196 0.147622111397302 0.023949202965605 0.278697453198915 0.276530877967229 0.192854108091451 0.340185338481074 0.0502739341605919 0.112403967284376
Candidatus.Dadabacteria NA NA NA -0.186600853686567 -0.155144825430069 -0.315918602887104 0.0270803959998646 0.476384820738824 NA NA 0.0191169681155509 0.2687233065635 0.326036065734121 -0.00872717667820064 1 -0.330163431983989 -0.219377569032892 0.502532956510509 -0.155144825430069 -0.324911990091903 0.366857162643813 0.300023391147478 -0.155144825430069 -0.0670807002600552 0.482778380875078 -0.118613926363093 0.0728788977519942 0.390505405174688 0.14489778072585 -0.286616685176341 -0.119057370431885 -0.0333784979019662 0.486217444882724 -0.239977256872271 -0.208483030352353 0.132654449452369 -0.189580713647858 -0.0317518258637128 -0.102376223932316 0.260426116034009 -0.00884024524380816 0.347168857316867 -0.0612806134234029 0.0075858671083868 -0.27902798146501 -0.375344520663794
Candidatus.Krumholzibacteriota NA NA NA 0.438805217351849 0.382181362345941 0.35115573553905 0.250838983300473 0.000844913751798011 NA NA 0.216367734387256 0.0517603291450433 0.207557480630816 0.190683439299549 -0.330163431983989 1 0.197591006198178 -0.269618902431303 0.128206939283426 0.606625017595203 0.288729009669358 -0.121356018304432 -0.281757110750784 -0.0377331485910942 0.00210566452457736 0.357489214736435 0.370635078485252 -0.227885209420659 0.320517560351557 -0.113514688407315 0.139241976883701 0.41358154389278 0.267275385657744 -0.114783422723609 0.390526582209099 -0.144493390710547 0.0732865599147414 0.0802467366565335 -0.0752432399124651 -0.22484031973843 -0.0844014836216577 -0.0617243599281924 0.0423862628078324 0.111352879870457 0.0988504570278586 0.31264430938431
Candidatus.Hydrogenedentes NA NA NA 0.0399965976823144 0.266033731041439 0.267017653855074 0.162153694051945 0.0184349577802345 NA NA 0.0566412610557158 0.05474385377136 -0.0345252220152014 0.368931609263613 -0.219377569032892 0.197591006198178 1 0.0895538563051554 -0.0341142392175983 -0.121476499920922 0.0507053460433012 -0.232542691424977 0.52272188058293 0.363131600175712 -0.0911881545684363 0.338082537575063 0.098313651307333 -0.540803118398961 -0.17577995155909 0.271729577453824 -0.0686683364309247 0.212051860456616 0.133006887681937 0.198883675564757 0.474026281621208 -0.0276485541081173 0.152979173150621 0.149592514312797 0.230221292552393 -0.0619764534935581 0.553769363806239 0.147872700399634 0.47318189080988 0.48484614962003 0.0185983112825422 0.26863379057529
Nitrospinae NA NA NA -0.234879802950129 0.409726959359969 -0.269942923598541 0.488134556471185 0.753927719997405 NA NA -0.0613800830523646 -0.0845624176507795 0.64528426992791 0.191066062196251 0.502532956510509 -0.269618902431303 0.0895538563051554 1 -0.195285205323635 -0.129194631452151 0.51909101461596 0.330916115987208 0.294043723444444 0.0166927232612067 0.68226240962714 0.168070966809599 -0.352220333472878 0.264365717587532 0.316799857964106 -0.00127898196581892 0.0381623492923942 -0.244473485535152 0.581451539369475 0.195637267908827 -0.0282296531860377 0.190429721812652 0.0732332018910046 0.0138133257755906 -0.00517282140341223 0.549539622126547 0.127475943253952 0.68025507534311 0.302406626538807 -0.173667307341525 -0.485199023322307 -0.368557840656399
Euryarchaeota NA NA NA -0.103459064008162 -0.0860185690879301 -0.0186461126512442 -0.103459064008162 -0.18868789425357 NA NA 0.313130656801436 -0.0372477687333319 -0.221594179845752 -0.0173749956423427 -0.155144825430069 0.128206939283426 -0.0341142392175983 -0.195285205323635 1 -0.115209289138771 -0.295508851050541 -0.0726513511961017 -0.0860185690879301 0.144141410747708 -0.153600078762934 0.142380318982356 0.0192787674230562 0.300902815904079 0.189521901872577 -0.036311220099547 -0.205885704076714 0.390709978468318 -0.0136733161705504 -0.0111621238773063 -0.0298940822879108 0.189780909180319 0.241009711424224 -0.161966270102954 0.200508610566658 0.185967128084296 0.290250055136163 0.323855199651204 0.272140772513225 0.298766022128818 0.238910412896841 0.0440863272273225
Ignavibacteriae NA NA NA 0.10134851612542 0.425817331417592 0.260403460721053 0.310649137225689 -0.0941900286026233 NA NA -0.290059347181009 0.0971542513963707 0.110539204454221 0.0741277005341423 -0.324911990091903 0.606625017595203 -0.121476499920922 -0.129194631452151 -0.115209289138771 1 0.137100886862844 -0.270289241710633 -0.215015790780628 -0.194540461374781 0.0492261784752646 0.00291301151307435 -0.0387692113383372 -0.0605704261132651 0.195941037082856 0.0413277127865831 0.118452969262414 0.216629118352339 0.0441765833034873 -0.186110917684589 0.105519393474059 -0.255021608802214 0.142956779049697 0.14057802202178 -0.0916225522402979 -0.361621108857319 -0.295381150720354 -0.0270721965775311 -0.138894558391609 -0.179210707251673 0.209176540462363 0.0543682855264102
